program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Airport and Airway Trust Fund,Start-of-Year Balancea,2023,12337.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2023,2023,2023,14,4
Airport and Airway Trust Fund,Start-of-Year Balancea,2024,13013.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2024,2024,2024,14,5
Airport and Airway Trust Fund,Start-of-Year Balancea,2025,14789.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2025,2025,2025,14,6
Airport and Airway Trust Fund,Start-of-Year Balancea,2026,16916.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2026,2026,2026,14,7
Airport and Airway Trust Fund,Start-of-Year Balancea,2027,19296.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2027,2027,2027,14,8
Airport and Airway Trust Fund,Start-of-Year Balancea,2028,21941.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2028,2028,2028,14,9
Airport and Airway Trust Fund,Start-of-Year Balancea,2029,24901.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2029,2029,2029,14,10
Airport and Airway Trust Fund,Start-of-Year Balancea,2030,28219.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2030,2030,2030,14,11
Airport and Airway Trust Fund,Start-of-Year Balancea,2031,31867.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2031,2031,2031,14,12
Airport and Airway Trust Fund,Start-of-Year Balancea,2032,35788.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2032,2032,2032,14,13
Airport and Airway Trust Fund,Start-of-Year Balancea,2033,40045.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2033,2033,2033,14,14
Airport and Airway Trust Fund,Excise Tax Revenues,2023,17245.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2023,2023,2023,15,4
Airport and Airway Trust Fund,Excise Tax Revenues,2024,18853.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2024,2024,2024,15,5
Airport and Airway Trust Fund,Excise Tax Revenues,2025,19690.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2025,2025,2025,15,6
Airport and Airway Trust Fund,Excise Tax Revenues,2026,20483.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2026,2026,2026,15,7
Airport and Airway Trust Fund,Excise Tax Revenues,2027,21270.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2027,2027,2027,15,8
Airport and Airway Trust Fund,Excise Tax Revenues,2028,22047.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2028,2028,2028,15,9
Airport and Airway Trust Fund,Excise Tax Revenues,2029,22841.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2029,2029,2029,15,10
Airport and Airway Trust Fund,Excise Tax Revenues,2030,23657.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2030,2030,2030,15,11
Airport and Airway Trust Fund,Excise Tax Revenues,2031,24415.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2031,2031,2031,15,12
Airport and Airway Trust Fund,Excise Tax Revenues,2032,25273.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2032,2032,2032,15,13
Airport and Airway Trust Fund,Excise Tax Revenues,2033,25992.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2033,2033,2033,15,14
Airport and Airway Trust Fund,Interest,2023,256.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2023,2023,2023,16,4
Airport and Airway Trust Fund,Interest,2024,395.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2024,2024,2024,16,5
Airport and Airway Trust Fund,Interest,2025,437.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2025,2025,2025,16,6
Airport and Airway Trust Fund,Interest,2026,419.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2026,2026,2026,16,7
Airport and Airway Trust Fund,Interest,2027,441.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2027,2027,2027,16,8
Airport and Airway Trust Fund,Interest,2028,501.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2028,2028,2028,16,9
Airport and Airway Trust Fund,Interest,2029,592.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2029,2029,2029,16,10
Airport and Airway Trust Fund,Interest,2030,669.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2030,2030,2030,16,11
Airport and Airway Trust Fund,Interest,2031,783.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2031,2031,2031,16,12
Airport and Airway Trust Fund,Interest,2032,878.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2032,2032,2032,16,13
Airport and Airway Trust Fund,Interest,2033,979.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2033,2033,2033,16,14
Airport and Airway Trust Fund,Outlaysa,2023,16825.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2023,2023,2023,17,4
Airport and Airway Trust Fund,Outlaysa,2024,17472.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2024,2024,2024,17,5
Airport and Airway Trust Fund,Outlaysa,2025,18000.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2025,2025,2025,17,6
Airport and Airway Trust Fund,Outlaysa,2026,18522.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2026,2026,2026,17,7
Airport and Airway Trust Fund,Outlaysa,2027,19066.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2027,2027,2027,17,8
Airport and Airway Trust Fund,Outlaysa,2028,19588.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2028,2028,2028,17,9
Airport and Airway Trust Fund,Outlaysa,2029,20115.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2029,2029,2029,17,10
Airport and Airway Trust Fund,Outlaysa,2030,20678.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2030,2030,2030,17,11
Airport and Airway Trust Fund,Outlaysa,2031,21277.0,Millions of dollars,59126-2023-05-aatf_0.xlsx,AATF_05-2023,false,59126,Airport and Airway Trust Fund / Cash Balances / Outlaysa,fiscal_year,2031,2031,2031,17,12
