program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Aatf,Start-of-Year Balancea,2026,21772.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2027,23748.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2028,25993.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2029,28572.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2030,31488.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2031,34764.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2032,38440.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2033,42553.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2034,47122.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2035,52207.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Start-of-Year Balancea,2036,57843.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2026,21015.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2027,21879.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2028,22720.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2029,23571.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2030,24462.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2031,25388.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2032,26344.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2033,27339.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2034,28377.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
Aatf,Excise Tax Revenues,2035,29456.0,Millions of dollars,59126-2026-02-aatf.xlsx,AATF_02-2026,false
