program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Airport and Airway Trust Fund,Start-of-Year Balancea,2025,17554.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2025,2025,2025,14,4
Airport and Airway Trust Fund,Start-of-Year Balancea,2026,17604.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2026,2026,2026,14,5
Airport and Airway Trust Fund,Start-of-Year Balancea,2027,17745.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2027,2027,2027,14,6
Airport and Airway Trust Fund,Start-of-Year Balancea,2028,18032.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2028,2028,2028,14,7
Airport and Airway Trust Fund,Start-of-Year Balancea,2029,18532.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2029,2029,2029,14,8
Airport and Airway Trust Fund,Start-of-Year Balancea,2030,19304.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2030,2030,2030,14,9
Airport and Airway Trust Fund,Start-of-Year Balancea,2031,20325.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2031,2031,2031,14,10
Airport and Airway Trust Fund,Start-of-Year Balancea,2032,21641.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2032,2032,2032,14,11
Airport and Airway Trust Fund,Start-of-Year Balancea,2033,23276.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2033,2033,2033,14,12
Airport and Airway Trust Fund,Start-of-Year Balancea,2034,25236.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2034,2034,2034,14,13
Airport and Airway Trust Fund,Start-of-Year Balancea,2035,27527.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Start-of-Year Balancea,fiscal_year,2035,2035,2035,14,14
Airport and Airway Trust Fund,Excise Tax Revenues,2025,18717.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2025,2025,2025,15,4
Airport and Airway Trust Fund,Excise Tax Revenues,2026,19429.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2026,2026,2026,15,5
Airport and Airway Trust Fund,Excise Tax Revenues,2027,20147.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2027,2027,2027,15,6
Airport and Airway Trust Fund,Excise Tax Revenues,2028,20887.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2028,2028,2028,15,7
Airport and Airway Trust Fund,Excise Tax Revenues,2029,21667.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2029,2029,2029,15,8
Airport and Airway Trust Fund,Excise Tax Revenues,2030,22490.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2030,2030,2030,15,9
Airport and Airway Trust Fund,Excise Tax Revenues,2031,23347.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2031,2031,2031,15,10
Airport and Airway Trust Fund,Excise Tax Revenues,2032,24245.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2032,2032,2032,15,11
Airport and Airway Trust Fund,Excise Tax Revenues,2033,25174.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2033,2033,2033,15,12
Airport and Airway Trust Fund,Excise Tax Revenues,2034,26129.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2034,2034,2034,15,13
Airport and Airway Trust Fund,Excise Tax Revenues,2035,27108.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Excise Tax Revenues,fiscal_year,2035,2035,2035,15,14
Airport and Airway Trust Fund,Interest,2025,532.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2025,2025,2025,16,4
Airport and Airway Trust Fund,Interest,2026,510.0,Millions of dollars,59126-2025-01-aatf.xlsx,AATF_01-2025,false,59126,Airport and Airway Trust Fund / Cash Balances / Interest,fiscal_year,2026,2026,2026,16,5
