program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Nutrition,Budget Authority,2022,38642.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2022,2022,2022,13,4
Child Nutrition,Budget Authority,2023,28524.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2023,2023,2023,13,5
Child Nutrition,Budget Authority,2024,30060.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2024,2024,2024,13,6
Child Nutrition,Budget Authority,2025,31882.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2025,2025,2025,13,7
Child Nutrition,Budget Authority,2026,33430.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2026,2026,2026,13,8
Child Nutrition,Budget Authority,2027,34983.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2027,2027,2027,13,9
Child Nutrition,Budget Authority,2028,36577.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2028,2028,2028,13,10
Child Nutrition,Budget Authority,2029,38236.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2029,2029,2029,13,11
Child Nutrition,Budget Authority,2030,39966.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2030,2030,2030,13,12
Child Nutrition,Budget Authority,2031,41774.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2031,2031,2031,13,13
Child Nutrition,Budget Authority,2032,43669.0,Millions of dollars,51293-2022-05-childnutrition_0.xlsx,Child Nutrition_05-2022,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Budget Authority,fiscal_year,2032,2032,2032,13,14
