program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Child Nutrition,Paid,2019,1822.00952392262,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2020,1840.2296191618461,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2021,1858.6319153534646,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2022,1877.2182345069994,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2023,1895.9904168520693,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2024,1895.9904168520693,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2019,3253.6475745223856,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2020,3269.9158123949974,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2021,3302.6149705189473,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2022,3335.641120224137,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2023,3368.9975314263784,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2024,3368.9975314263784,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2019,512.4560379149905,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2020,522.538270016103,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2021,532.8188633357784,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2022,543.3017204992126,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2023,553.9908209131597,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2024,553.9908209131597,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2019,0.31704324594310473,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2020,0.32485519370146926,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2021,0.3327648489660431,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2022,0.3406558932770533,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2023,0.3484678410354177,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Paid,2024,0.3484678410354177,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2019,3.340867344693733,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2020,3.422148801131953,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2021,3.504446880908591,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2022,3.58655131814458,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2023,3.6678327745828003,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Free,2024,3.6678327745828003,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2019,2.9400673446937327,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2020,3.021348801131954,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2021,3.103646880908592,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2022,3.1857513181445802,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2023,3.2670327745828,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,Reduced,2024,3.2670327745828,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
Child Nutrition,6-cent Add On,2019,0.07015680825416626,Millions of dollars,51293-2019-05-Child-Nutrition.xlsx,CNP May 2019,false
