program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Support Enforcement,Child Support Administration,2025,4024.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2025,2025,2025,15,4
Child Support Enforcement,Child Support Administration,2026,4068.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2026,2026,2026,15,5
Child Support Enforcement,Child Support Administration,2027,4090.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2027,2027,2027,15,6
Child Support Enforcement,Child Support Administration,2028,4121.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2028,2028,2028,15,7
Child Support Enforcement,Child Support Administration,2029,4188.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2029,2029,2029,15,8
Child Support Enforcement,Child Support Administration,2030,4202.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2030,2030,2030,15,9
Child Support Enforcement,Child Support Administration,2031,4175.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2031,2031,2031,15,10
Child Support Enforcement,Child Support Administration,2032,4178.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2032,2032,2032,15,11
Child Support Enforcement,Child Support Administration,2033,4183.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2033,2033,2033,15,12
Child Support Enforcement,Child Support Administration,2034,4204.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2034,2034,2034,15,13
Child Support Enforcement,Child Support Administration,2035,4222.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2035,2035,2035,15,14
Child Support Enforcement,Incentive Payments,2025,696.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2025,2025,2025,16,4
Child Support Enforcement,Incentive Payments,2026,719.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2026,2026,2026,16,5
Child Support Enforcement,Incentive Payments,2027,740.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2027,2027,2027,16,6
Child Support Enforcement,Incentive Payments,2028,760.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2028,2028,2028,16,7
Child Support Enforcement,Incentive Payments,2029,778.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2029,2029,2029,16,8
Child Support Enforcement,Incentive Payments,2030,795.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2030,2030,2030,16,9
Child Support Enforcement,Incentive Payments,2031,813.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2031,2031,2031,16,10
Child Support Enforcement,Incentive Payments,2032,832.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2032,2032,2032,16,11
Child Support Enforcement,Incentive Payments,2033,850.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2033,2033,2033,16,12
Child Support Enforcement,Incentive Payments,2034,869.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2034,2034,2034,16,13
Child Support Enforcement,Incentive Payments,2035,889.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2035,2035,2035,16,14
Child Support Enforcement,Payments to Territories; Repatriation,2025,41.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2025,2025,2025,17,4
Child Support Enforcement,Payments to Territories; Repatriation,2026,42.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2026,2026,2026,17,5
Child Support Enforcement,Payments to Territories; Repatriation,2027,43.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2027,2027,2027,17,6
Child Support Enforcement,Payments to Territories; Repatriation,2028,44.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2028,2028,2028,17,7
Child Support Enforcement,Payments to Territories; Repatriation,2029,45.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2029,2029,2029,17,8
Child Support Enforcement,Payments to Territories; Repatriation,2030,46.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2030,2030,2030,17,9
Child Support Enforcement,Payments to Territories; Repatriation,2031,47.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2031,2031,2031,17,10
Child Support Enforcement,Payments to Territories; Repatriation,2032,49.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2032,2032,2032,17,11
Child Support Enforcement,Payments to Territories; Repatriation,2033,50.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2033,2033,2033,17,12
Child Support Enforcement,Payments to Territories; Repatriation,2034,51.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2034,2034,2034,17,13
Child Support Enforcement,Payments to Territories; Repatriation,2035,52.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2035,2035,2035,17,14
Child Support Enforcement,Sequestrationa,2025,-1.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2025,2025,2025,18,4
Child Support Enforcement,Sequestrationa,2026,-1.0,Millions of dollars,51295-2025-01-csec.xlsx,CSEC_01-2025,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2026,2026,2026,18,5
