program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Child Support Enforcement,Child Support Administration,2019,3513.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2020,3537.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2021,3556.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2022,3574.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2023,3591.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2024,3598.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2025,3607.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2026,3624.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2027,3640.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2028,3655.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Child Support Administration,2029,3671.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2019,588.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2020,599.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2021,613.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2022,629.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2023,645.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2024,661.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2025,677.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2026,693.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2027,709.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2028,720.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Incentive Payments,2029,740.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2019,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2020,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2021,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2022,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2023,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2024,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2025,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2026,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2027,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2028,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Payments to Territories; Repatriation,2029,20.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,false
Child Support Enforcement,Total,2019,4121.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,true
Child Support Enforcement,Total,2020,4156.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,true
Child Support Enforcement,Total,2021,4189.0,Millions of Dollars,51295-2019-05-Child-Support-Enforcement.xlsx,Sheet3,true
