program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Nutrition,Estimated Budget Authority,2024,30108.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2024,2024,2024,13,4
Child Nutrition,Estimated Budget Authority,2025,31790.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2025,2025,2025,13,5
Child Nutrition,Estimated Budget Authority,2026,33465.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2026,2026,2026,13,6
Child Nutrition,Estimated Budget Authority,2027,35214.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2027,2027,2027,13,7
Child Nutrition,Estimated Budget Authority,2028,36961.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2028,2028,2028,13,8
Child Nutrition,Estimated Budget Authority,2029,38766.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2029,2029,2029,13,9
Child Nutrition,Estimated Budget Authority,2030,40601.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2030,2030,2030,13,10
Child Nutrition,Estimated Budget Authority,2031,42539.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2031,2031,2031,13,11
Child Nutrition,Estimated Budget Authority,2032,44601.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2032,2032,2032,13,12
Child Nutrition,Estimated Budget Authority,2033,46754.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2033,2033,2033,13,13
Child Nutrition,Estimated Budget Authority,2034,48872.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2034,2034,2034,13,14
Child Nutrition,Estimated Budget Authority,,176196.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,cumulative_fiscal_years,2025,2029,2025-2029,13,15
Child Nutrition,Estimated Budget Authority,,399563.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Budget Authority,cumulative_fiscal_years,2025,2034,2025-2034,13,16
Child Nutrition,Estimated Outlays,2024,29712.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,15,4
Child Nutrition,Estimated Outlays,2025,31478.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,15,5
Child Nutrition,Estimated Outlays,2026,33156.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,15,6
Child Nutrition,Estimated Outlays,2027,34912.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2027,2027,2027,15,7
Child Nutrition,Estimated Outlays,2028,36664.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2028,2028,2028,15,8
Child Nutrition,Estimated Outlays,2029,38459.0,Millions of dollars,51293-2024-02-childnutrition_0.xlsx,Child Nutrition_02-2024,false,51293,Child Nutrition Programs / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2029,2029,2029,15,9
