program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Nutrition,Budget Authority,2020,24148.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2020,2020,2020,6,4
Child Nutrition,Budget Authority,2021,24980.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2021,2021,2021,6,5
Child Nutrition,Budget Authority,2022,26037.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2022,2022,2022,6,6
Child Nutrition,Budget Authority,2023,27183.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2023,2023,2023,6,7
Child Nutrition,Budget Authority,2024,28364.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2024,2024,2024,6,8
Child Nutrition,Budget Authority,2025,29576.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2025,2025,2025,6,9
Child Nutrition,Budget Authority,2026,30825.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2026,2026,2026,6,10
Child Nutrition,Budget Authority,2027,32120.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2027,2027,2027,6,11
Child Nutrition,Budget Authority,2028,33469.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2028,2028,2028,6,12
Child Nutrition,Budget Authority,2029,34879.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2029,2029,2029,6,13
Child Nutrition,Budget Authority,2030,36906.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority,fiscal_year,2030,2030,2030,6,14
Child Nutrition,Outlays,2020,23974.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2020,2020,2020,7,4
Child Nutrition,Outlays,2021,24831.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2021,2021,2021,7,5
Child Nutrition,Outlays,2022,25857.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2022,2022,2022,7,6
Child Nutrition,Outlays,2023,26987.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2023,2023,2023,7,7
Child Nutrition,Outlays,2024,28162.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2024,2024,2024,7,8
Child Nutrition,Outlays,2025,29368.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2025,2025,2025,7,9
Child Nutrition,Outlays,2026,30611.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2026,2026,2026,7,10
Child Nutrition,Outlays,2027,31898.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2027,2027,2027,7,11
Child Nutrition,Outlays,2028,33238.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2028,2028,2028,7,12
Child Nutrition,Outlays,2029,34638.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2029,2029,2029,7,13
Child Nutrition,Outlays,2030,36561.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Outlays,fiscal_year,2030,2030,2030,7,14
Child Nutrition,National School Lunch Program,2020,13168.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2020,2020,2020,11,4
Child Nutrition,National School Lunch Program,2021,13546.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2021,2021,2021,11,5
Child Nutrition,National School Lunch Program,2022,14064.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2022,2022,2022,11,6
Child Nutrition,National School Lunch Program,2023,14638.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2023,2023,2023,11,7
Child Nutrition,National School Lunch Program,2024,15223.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2024,2024,2024,11,8
Child Nutrition,National School Lunch Program,2025,15821.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2025,2025,2025,11,9
Child Nutrition,National School Lunch Program,2026,16432.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2026,2026,2026,11,10
Child Nutrition,National School Lunch Program,2027,17063.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2027,2027,2027,11,11
Child Nutrition,National School Lunch Program,2028,17718.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2028,2028,2028,11,12
Child Nutrition,National School Lunch Program,2029,18398.0,Millions of dollars,51293-2020-01-childnutrition.xlsx,CNP,false,51293,Budget Authority Components / National School Lunch Program,fiscal_year,2029,2029,2029,11,13
