program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Childnutrition,Budget Authority,2023,31047.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2024,33970.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2025,36438.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2026,38506.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2027,40456.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2028,42376.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2029,44318.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2030,46303.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2031,48373.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2032,50539.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Budget Authority,2033,52792.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2023,32552.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2024,33462.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2025,36008.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2026,38150.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2027,40123.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2028,42050.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2029,43988.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2030,45963.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2031,48020.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2032,50174.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlaysa,2033,52400.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2023,18206.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2024,16975.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2025,18334.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2026,19459.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2027,20455.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2028,21405.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2029,22352.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2030,23303.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2031,24285.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2032,25309.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Estimated Outlays,2033,26364.0,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2024,109.4,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2025,106.60000000000001,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2026,104.89999999999999,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2027,104.1,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2028,103.60000000000001,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2029,103.4,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2030,103.2,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2031,103.2,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2032,103.1,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
Childnutrition,Second quarter to second quarter change (percent),2033,103.1,"By Fiscal Year, Millions of Dollars",51293-2023-05-childnutrition.xlsx,Child Nutrition_05-2023,false
