program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Support Enforcement,Child Support Administration,2021,3688.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2021,2021,2021,16,5
Child Support Enforcement,Child Support Administration,2022,3640.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2022,2022,2022,16,6
Child Support Enforcement,Child Support Administration,2023,3662.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2023,2023,2023,16,7
Child Support Enforcement,Child Support Administration,2024,3686.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2024,2024,2024,16,8
Child Support Enforcement,Child Support Administration,2025,3700.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2025,2025,2025,16,9
Child Support Enforcement,Child Support Administration,2026,3711.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2026,2026,2026,16,10
Child Support Enforcement,Child Support Administration,2027,3718.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2027,2027,2027,16,11
Child Support Enforcement,Child Support Administration,2028,3735.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2028,2028,2028,16,12
Child Support Enforcement,Child Support Administration,2029,3751.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2029,2029,2029,16,13
Child Support Enforcement,Child Support Administration,2030,3766.0,Millions of dollars,51295-2021-07-childsupportenforcement.xlsx,CSC_07-2021,false,51295,Child Support Enforcement and Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2030,2030,2030,16,14
