program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
CHIP,Budget Authoritya,2019,21.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2019,2019,2019,8,2
CHIP,Budget Authoritya,2020,21.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2020,2020,2020,8,3
CHIP,Budget Authoritya,2021,25.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2021,2021,2021,8,4
CHIP,Budget Authoritya,2022,26.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2022,2022,2022,8,5
CHIP,Budget Authoritya,2023,26.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2023,2023,2023,8,6
CHIP,Budget Authoritya,2024,16.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2024,2024,2024,8,7
CHIP,Budget Authoritya,2025,16.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2025,2025,2025,8,8
CHIP,Budget Authoritya,2026,17.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2026,2026,2026,8,9
CHIP,Budget Authoritya,2027,18.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2027,2027,2027,8,10
CHIP,Budget Authoritya,2028,15.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2028,2028,2028,8,11
CHIP,Budget Authoritya,2029,15.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2029,2029,2029,8,12
CHIP,Budget Authoritya,2030,15.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,fiscal_year,2030,2030,2030,8,13
CHIP,Budget Authoritya,,209.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Budget Authoritya,cumulative_fiscal_years,2020,2030,2020-2030,8,14
CHIP,Outlays,2019,18.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2019,2019,2019,9,2
CHIP,Outlays,2020,16.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2020,2020,2020,9,3
CHIP,Outlays,2021,14.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2021,2021,2021,9,4
CHIP,Outlays,2022,14.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2022,2022,2022,9,5
CHIP,Outlays,2023,15.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2023,2023,2023,9,6
CHIP,Outlays,2024,16.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2024,2024,2024,9,7
CHIP,Outlays,2025,16.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2025,2025,2025,9,8
CHIP,Outlays,2026,17.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2026,2026,2026,9,9
CHIP,Outlays,2027,18.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2027,2027,2027,9,10
CHIP,Outlays,2028,18.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2028,2028,2028,9,11
CHIP,Outlays,2029,19.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2029,2029,2029,9,12
CHIP,Outlays,2030,20.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,fiscal_year,2030,2030,2030,9,13
CHIP,Outlays,,183.0,Billions of dollars,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Federal Funding (Billions of dollars) / Outlays,cumulative_fiscal_years,2020,2030,2020-2030,9,14
CHIP,Children,2019,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2019,2019,2019,13,2
CHIP,Children,2020,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2020,2020,2020,13,3
CHIP,Children,2021,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2021,2021,2021,13,4
CHIP,Children,2022,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2022,2022,2022,13,5
CHIP,Children,2023,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2023,2023,2023,13,6
CHIP,Children,2024,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2024,2024,2024,13,7
CHIP,Children,2025,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2025,2025,2025,13,8
CHIP,Children,2026,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2026,2026,2026,13,9
CHIP,Children,2027,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2027,2027,2027,13,10
CHIP,Children,2028,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2028,2028,2028,13,11
CHIP,Children,2029,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2029,2029,2029,13,12
CHIP,Children,2030,7.0,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Children,fiscal_year,2030,2030,2030,13,13
CHIP,Adults,2019,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2019,2019,2019,14,2
CHIP,Adults,2020,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2020,2020,2020,14,3
CHIP,Adults,2021,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2021,2021,2021,14,4
CHIP,Adults,2022,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2022,2022,2022,14,5
CHIP,Adults,2023,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2023,2023,2023,14,6
CHIP,Adults,2024,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2024,2024,2024,14,7
CHIP,Adults,2025,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2025,2025,2025,14,8
CHIP,Adults,2026,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2026,2026,2026,14,9
CHIP,Adults,2027,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2027,2027,2027,14,10
CHIP,Adults,2028,0.1,Millions of people,51296-2020-03-chip.xlsx,CHIP,false,51296,By Fiscal Year / Enrollment at Baseline Funding Amountsb / Adults,fiscal_year,2028,2028,2028,14,11
