program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Chip,Budget Authoritya,2022,25.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2023,26.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2024,18.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2025,18.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2026,18.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2027,19.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2028,20.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2029,20.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2030,15.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2031,15.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2032,15.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Budget Authoritya,2033,15.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2022,17.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2023,17.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2024,17.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2025,18.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2026,18.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2027,19.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2028,20.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2029,20.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2030,21.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2031,22.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2032,20.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Outlays,2033,15.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2022,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2023,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2024,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2025,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2026,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2027,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
Chip,Millions of children,2028,7.0,"By Fiscal Year, Billions of Dollars",51296-2023-05-chip.xlsx,CHIP_05-2023,false
