program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Support Enforcement,Child Support Administration,2022,3574.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2022,2022,2022,15,4
Child Support Enforcement,Child Support Administration,2023,3583.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2023,2023,2023,15,5
Child Support Enforcement,Child Support Administration,2024,3596.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2024,2024,2024,15,6
Child Support Enforcement,Child Support Administration,2025,3611.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2025,2025,2025,15,7
Child Support Enforcement,Child Support Administration,2026,3626.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2026,2026,2026,15,8
Child Support Enforcement,Child Support Administration,2027,3642.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2027,2027,2027,15,9
Child Support Enforcement,Child Support Administration,2028,3657.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2028,2028,2028,15,10
Child Support Enforcement,Child Support Administration,2029,3673.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2029,2029,2029,15,11
Child Support Enforcement,Child Support Administration,2030,3689.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2030,2030,2030,15,12
Child Support Enforcement,Child Support Administration,2031,3705.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2031,2031,2031,15,13
Child Support Enforcement,Child Support Administration,2032,3721.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2032,2032,2032,15,14
Child Support Enforcement,Incentive Payments,2022,626.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2022,2022,2022,16,4
Child Support Enforcement,Incentive Payments,2023,665.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2023,2023,2023,16,5
Child Support Enforcement,Incentive Payments,2024,691.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2024,2024,2024,16,6
Child Support Enforcement,Incentive Payments,2025,709.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2025,2025,2025,16,7
Child Support Enforcement,Incentive Payments,2026,726.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2026,2026,2026,16,8
Child Support Enforcement,Incentive Payments,2027,743.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2027,2027,2027,16,9
Child Support Enforcement,Incentive Payments,2028,760.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2028,2028,2028,16,10
Child Support Enforcement,Incentive Payments,2029,778.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2029,2029,2029,16,11
Child Support Enforcement,Incentive Payments,2030,796.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2030,2030,2030,16,12
Child Support Enforcement,Incentive Payments,2031,815.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2031,2031,2031,16,13
Child Support Enforcement,Incentive Payments,2032,834.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2032,2032,2032,16,14
Child Support Enforcement,Payments to Territories; Repatriation,2022,19.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2022,2022,2022,17,4
Child Support Enforcement,Payments to Territories; Repatriation,2023,18.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2023,2023,2023,17,5
Child Support Enforcement,Payments to Territories; Repatriation,2024,18.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2024,2024,2024,17,6
Child Support Enforcement,Payments to Territories; Repatriation,2025,19.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2025,2025,2025,17,7
Child Support Enforcement,Payments to Territories; Repatriation,2026,19.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2026,2026,2026,17,8
Child Support Enforcement,Payments to Territories; Repatriation,2027,19.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2027,2027,2027,17,9
Child Support Enforcement,Payments to Territories; Repatriation,2028,20.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2028,2028,2028,17,10
Child Support Enforcement,Payments to Territories; Repatriation,2029,20.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2029,2029,2029,17,11
Child Support Enforcement,Payments to Territories; Repatriation,2030,21.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2030,2030,2030,17,12
Child Support Enforcement,Payments to Territories; Repatriation,2031,21.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2031,2031,2031,17,13
Child Support Enforcement,Payments to Territories; Repatriation,2032,23.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Payments to Territories; Repatriation,fiscal_year,2032,2032,2032,17,14
Child Support Enforcement,Sequestrationa,2022,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2022,2022,2022,18,4
Child Support Enforcement,Sequestrationa,2023,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2023,2023,2023,18,5
Child Support Enforcement,Sequestrationa,2024,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2024,2024,2024,18,6
Child Support Enforcement,Sequestrationa,2025,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2025,2025,2025,18,7
Child Support Enforcement,Sequestrationa,2026,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2026,2026,2026,18,8
Child Support Enforcement,Sequestrationa,2027,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2027,2027,2027,18,9
Child Support Enforcement,Sequestrationa,2028,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2028,2028,2028,18,10
Child Support Enforcement,Sequestrationa,2029,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2029,2029,2029,18,11
Child Support Enforcement,Sequestrationa,2030,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2030,2030,2030,18,12
Child Support Enforcement,Sequestrationa,2031,-1.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2031,2031,2031,18,13
Child Support Enforcement,Sequestrationa,2032,0.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Sequestrationa,fiscal_year,2032,2032,2032,18,14
Child Support Enforcement,TANF Collections Retained by the Federal Government,2022,-758.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Collectionsb / TANF Collections Retained by the Federal Government,fiscal_year,2022,2022,2022,21,4
Child Support Enforcement,TANF Collections Retained by the Federal Government,2023,-672.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Collectionsb / TANF Collections Retained by the Federal Government,fiscal_year,2023,2023,2023,21,5
Child Support Enforcement,TANF Collections Retained by the Federal Government,2024,-545.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Collectionsb / TANF Collections Retained by the Federal Government,fiscal_year,2024,2024,2024,21,6
Child Support Enforcement,TANF Collections Retained by the Federal Government,2025,-539.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Collectionsb / TANF Collections Retained by the Federal Government,fiscal_year,2025,2025,2025,21,7
Child Support Enforcement,TANF Collections Retained by the Federal Government,2026,-533.0,Millions of dollars,51295-2022-05-csec_0.xlsx,CSEC_05-2022,false,51295,Child Support Enforcement and Child Support Collections / Child Support Collectionsb / TANF Collections Retained by the Federal Government,fiscal_year,2026,2026,2026,21,8
