program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Csec,Child Support Administration,2023,3599.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2024,3606.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2025,3613.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2026,3620.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2027,3628.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2028,3635.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2029,3643.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2030,3650.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2032,3666.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Child Support Administration,2033,3674.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2023,638.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2024,690.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2025,716.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2026,733.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2027,749.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2028,764.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2029,780.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2030,798.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2032,834.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Incentive Payments,2033,853.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2023,20.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2024,18.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2025,18.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2026,19.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2027,19.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2028,20.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2029,20.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2030,20.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2032,21.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Payments to Territories; Repatriation,2033,21.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Sequestrationa,2023,-1.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Sequestrationa,2024,-1.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Sequestrationa,2025,-1.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Sequestrationa,2026,-1.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
Csec,Sequestrationa,2027,-1.0,"By Fiscal Year, Millions of Dollars",51295-2023-05-csec.xlsx,CSEC_05-2023,false
