program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Child Support Enforcement,Child Support Administration,2024,4224.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2024,2024,2024,15,4
Child Support Enforcement,Child Support Administration,2025,4023.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2025,2025,2025,15,5
Child Support Enforcement,Child Support Administration,2026,4039.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2026,2026,2026,15,6
Child Support Enforcement,Child Support Administration,2027,4062.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2027,2027,2027,15,7
Child Support Enforcement,Child Support Administration,2028,4070.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2028,2028,2028,15,8
Child Support Enforcement,Child Support Administration,2029,4039.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2029,2029,2029,15,9
Child Support Enforcement,Child Support Administration,2030,4047.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2030,2030,2030,15,10
Child Support Enforcement,Child Support Administration,2031,4056.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2031,2031,2031,15,11
Child Support Enforcement,Child Support Administration,2032,4071.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2032,2032,2032,15,12
Child Support Enforcement,Child Support Administration,2033,4088.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2033,2033,2033,15,13
Child Support Enforcement,Child Support Administration,2034,4096.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Child Support Administration,fiscal_year,2034,2034,2034,15,14
Child Support Enforcement,Incentive Payments,2024,653.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2024,2024,2024,16,4
Child Support Enforcement,Incentive Payments,2025,696.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2025,2025,2025,16,5
Child Support Enforcement,Incentive Payments,2026,718.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2026,2026,2026,16,6
Child Support Enforcement,Incentive Payments,2027,739.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2027,2027,2027,16,7
Child Support Enforcement,Incentive Payments,2028,756.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2028,2028,2028,16,8
Child Support Enforcement,Incentive Payments,2029,773.0,Millions of dollars,51295-2024-06-csec.xlsx,CSEC_06-2024,false,51295,Child Support Enforcement and Child Support Collections / Child Support Enforcement Program / Incentive Payments,fiscal_year,2029,2029,2029,16,9
