program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Customs Fees,Estimated Outlays,2026,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2026,2026,2026,14,4
Customs Fees,Estimated Outlays,2027,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2027,2027,2027,14,5
Customs Fees,Estimated Outlays,2028,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2028,2028,2028,14,6
Customs Fees,Estimated Outlays,2029,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2029,2029,2029,14,7
Customs Fees,Estimated Outlays,2030,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2030,2030,2030,14,8
Customs Fees,Estimated Outlays,2031,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2031,2031,2031,14,9
Customs Fees,Estimated Outlays,2032,-3635.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2032,2032,2032,14,10
Customs Fees,Estimated Outlays,2033,-99.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2033,2033,2033,14,11
Customs Fees,Estimated Outlays,2034,36.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2034,2034,2034,14,12
Customs Fees,Estimated Outlays,2035,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2035,2035,2035,14,13
Customs Fees,Estimated Outlays,2036,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",fiscal_year,2036,2036,2036,14,14
Customs Fees,Estimated Outlays,,-3698.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2032 / Estimated Outlays",cumulative_fiscal_years,2026,2036,2026-2036,14,15
Customs Fees,Estimated Outlays,2026,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2026,2026,2026,17,4
Customs Fees,Estimated Outlays,2027,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2027,2027,2027,17,5
Customs Fees,Estimated Outlays,2028,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2028,2028,2028,17,6
Customs Fees,Estimated Outlays,2029,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2029,2029,2029,17,7
Customs Fees,Estimated Outlays,2030,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2030,2030,2030,17,8
Customs Fees,Estimated Outlays,2031,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2031,2031,2031,17,9
Customs Fees,Estimated Outlays,2032,-3635.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2032,2032,2032,17,10
Customs Fees,Estimated Outlays,2033,-5092.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2033,2033,2033,17,11
Customs Fees,Estimated Outlays,2034,-29.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2034,2034,2034,17,12
Customs Fees,Estimated Outlays,2035,37.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2035,2035,2035,17,13
Customs Fees,Estimated Outlays,2036,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",fiscal_year,2036,2036,2036,17,14
Customs Fees,Estimated Outlays,,-8719.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2033 / Estimated Outlays",cumulative_fiscal_years,2026,2036,2026-2036,17,15
Customs Fees,Estimated Outlays,2026,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2026,2026,2026,20,4
Customs Fees,Estimated Outlays,2027,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2027,2027,2027,20,5
Customs Fees,Estimated Outlays,2028,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2028,2028,2028,20,6
Customs Fees,Estimated Outlays,2029,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2029,2029,2029,20,7
Customs Fees,Estimated Outlays,2030,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2030,2030,2030,20,8
Customs Fees,Estimated Outlays,2031,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2031,2031,2031,20,9
Customs Fees,Estimated Outlays,2032,-3635.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2032,2032,2032,20,10
Customs Fees,Estimated Outlays,2033,-5092.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2033,2033,2033,20,11
Customs Fees,Estimated Outlays,2034,-5196.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2034,2034,2034,20,12
Customs Fees,Estimated Outlays,2035,-37.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2035,2035,2035,20,13
Customs Fees,Estimated Outlays,2036,37.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",fiscal_year,2036,2036,2036,20,14
Customs Fees,Estimated Outlays,,-13923.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2034 / Estimated Outlays",cumulative_fiscal_years,2026,2036,2026-2036,20,15
Customs Fees,Estimated Outlays,2026,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2035 / Estimated Outlays",fiscal_year,2026,2026,2026,23,4
Customs Fees,Estimated Outlays,2027,0.0,Millions of dollars,61170-2026-02-customs-fees.xlsx,Customs Fees 02-2026,false,61170,"Customs User Fees / Extension Through September 30, 2035 / Estimated Outlays",fiscal_year,2027,2027,2027,23,5
