program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Customs Fees,Estmated Outlays,2025,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2026,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2027,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2028,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2029,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2030,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2031,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2032,-5273.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2034,40.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estmated Outlays,2035,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2025,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2026,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2027,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2028,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2029,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2030,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2031,0.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2032,-5273.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2034,-5735.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
Customs Fees,Estimated Outlays,2035,-37.0,"Millions of dollars, by fiscal year",61170-2025-01-customs-fees.xlsx,Customs Fees Baseline 01-2025,false
