program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
DoD Medicare,Estimated Outlays From the MERHCF,2021,11258.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2021,2021,2021,14,5
DoD Medicare,Estimated Outlays From the MERHCF,2022,11769.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2022,2022,2022,14,6
DoD Medicare,Estimated Outlays From the MERHCF,2023,12484.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2023,2023,2023,14,7
DoD Medicare,Estimated Outlays From the MERHCF,2024,13024.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2024,2024,2024,14,8
DoD Medicare,Estimated Outlays From the MERHCF,2025,13693.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2025,2025,2025,14,9
DoD Medicare,Estimated Outlays From the MERHCF,2026,14329.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2026,2026,2026,14,10
DoD Medicare,Estimated Outlays From the MERHCF,2027,15101.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2027,2027,2027,14,11
DoD Medicare,Estimated Outlays From the MERHCF,2028,15826.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2028,2028,2028,14,12
DoD Medicare,Estimated Outlays From the MERHCF,2029,16620.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2029,2029,2029,14,13
DoD Medicare,Estimated Outlays From the MERHCF,2030,17397.0,Millions of dollars,54946-2021-07-dodmedicare.xlsx,DoD-MERHCF_07-2021,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2030,2030,2030,14,14
