program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
DoD Medicare,Estimated Outlays From the MERHCF,2022,11316.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2022,2022,2022,13,4
DoD Medicare,Estimated Outlays From the MERHCF,2023,11962.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2023,2023,2023,13,5
DoD Medicare,Estimated Outlays From the MERHCF,2024,12589.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2024,2024,2024,13,6
DoD Medicare,Estimated Outlays From the MERHCF,2025,13340.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2025,2025,2025,13,7
DoD Medicare,Estimated Outlays From the MERHCF,2026,14046.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2026,2026,2026,13,8
DoD Medicare,Estimated Outlays From the MERHCF,2027,14869.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2027,2027,2027,13,9
DoD Medicare,Estimated Outlays From the MERHCF,2028,15583.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2028,2028,2028,13,10
DoD Medicare,Estimated Outlays From the MERHCF,2029,16279.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2029,2029,2029,13,11
DoD Medicare,Estimated Outlays From the MERHCF,2030,17027.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2030,2030,2030,13,12
DoD Medicare,Estimated Outlays From the MERHCF,2031,17792.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2031,2031,2031,13,13
DoD Medicare,Estimated Outlays From the MERHCF,2032,18582.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / BUDGET INFORMATION / Estimated Outlays From the MERHCF,fiscal_year,2032,2032,2032,13,14
DoD Medicare,TRICARE for Life,2022,10458.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2022,2022,2022,16,4
DoD Medicare,TRICARE for Life,2023,11066.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2023,2023,2023,16,5
DoD Medicare,TRICARE for Life,2024,11661.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2024,2024,2024,16,6
DoD Medicare,TRICARE for Life,2025,12383.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2025,2025,2025,16,7
DoD Medicare,TRICARE for Life,2026,13065.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2026,2026,2026,16,8
DoD Medicare,TRICARE for Life,2027,13863.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2027,2027,2027,16,9
DoD Medicare,TRICARE for Life,2028,14560.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2028,2028,2028,16,10
DoD Medicare,TRICARE for Life,2029,15240.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2029,2029,2029,16,11
DoD Medicare,TRICARE for Life,2030,15974.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2030,2030,2030,16,12
DoD Medicare,TRICARE for Life,2031,16728.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2031,2031,2031,16,13
DoD Medicare,TRICARE for Life,2032,17509.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / TRICARE for Life,fiscal_year,2032,2032,2032,16,14
DoD Medicare,USFHP,2022,858.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / USFHP,fiscal_year,2022,2022,2022,17,4
DoD Medicare,USFHP,2023,896.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / USFHP,fiscal_year,2023,2023,2023,17,5
DoD Medicare,USFHP,2024,928.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / USFHP,fiscal_year,2024,2024,2024,17,6
DoD Medicare,USFHP,2025,957.0,Millions of dollars,54946-2022-05-dodmedicare.xlsx,DoD-MERHCF_05-2022,false,54946,DoD Medicare-Eligible Retiree Health Care Fund / Components of the MERHCF / USFHP,fiscal_year,2025,2025,2025,17,7
