program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Foster Care,Estimated Outlays,2023,9415.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2023,2023,2023,12,4
Foster Care,Estimated Outlays,2024,9754.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2024,2024,2024,12,5
Foster Care,Estimated Outlays,2025,9864.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2025,2025,2025,12,6
Foster Care,Estimated Outlays,2026,10134.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2026,2026,2026,12,7
Foster Care,Estimated Outlays,2027,10422.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2027,2027,2027,12,8
Foster Care,Estimated Outlays,2028,10707.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2028,2028,2028,12,9
Foster Care,Estimated Outlays,2029,11042.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2029,2029,2029,12,10
Foster Care,Estimated Outlays,2030,11314.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2030,2030,2030,12,11
Foster Care,Estimated Outlays,2031,11594.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2031,2031,2031,12,12
Foster Care,Estimated Outlays,2032,11875.0,Millions of dollars,51299-2023-05-fostercare.xlsx,Foster Care_05-2023,false,51299,"Foster Care, Adoption Assistance, and Guardianship / BUDGET INFORMATION / Estimated Outlays",fiscal_year,2032,2032,2032,12,13
