program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Foster Care,Maintenance Payments,2019,851.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2019,2019,2019,7,2
Foster Care,Maintenance Payments,2020,1842.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2020,2020,2020,7,3
Foster Care,Maintenance Payments,2021,1861.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2021,2021,2021,7,4
Foster Care,Maintenance Payments,2022,1877.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2022,2022,2022,7,5
Foster Care,Maintenance Payments,2023,1893.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2023,2023,2023,7,6
Foster Care,Maintenance Payments,2024,1909.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2024,2024,2024,7,7
Foster Care,Maintenance Payments,2025,1925.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2025,2025,2025,7,8
Foster Care,Maintenance Payments,2026,1941.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2026,2026,2026,7,9
Foster Care,Maintenance Payments,2027,1958.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2027,2027,2027,7,10
Foster Care,Maintenance Payments,2028,1974.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2028,2028,2028,7,11
Foster Care,Maintenance Payments,2029,1992.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Maintenance Payments",fiscal_year,2029,2029,2029,7,12
Foster Care,Administration,2019,1431.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2019,2019,2019,8,2
Foster Care,Administration,2020,2750.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2020,2020,2020,8,3
Foster Care,Administration,2021,2779.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2021,2021,2021,8,4
Foster Care,Administration,2022,2806.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2022,2022,2022,8,5
Foster Care,Administration,2023,2832.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2023,2023,2023,8,6
Foster Care,Administration,2024,2858.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2024,2024,2024,8,7
Foster Care,Administration,2025,2883.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2025,2025,2025,8,8
Foster Care,Administration,2026,2909.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2026,2026,2026,8,9
Foster Care,Administration,2027,2936.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2027,2027,2027,8,10
Foster Care,Administration,2028,2963.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2028,2028,2028,8,11
Foster Care,Administration,2029,2992.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Administration",fiscal_year,2029,2029,2029,8,12
Foster Care,Training,2019,266.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2019,2019,2019,9,2
Foster Care,Training,2020,271.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2020,2020,2020,9,3
Foster Care,Training,2021,276.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2021,2021,2021,9,4
Foster Care,Training,2022,281.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2022,2022,2022,9,5
Foster Care,Training,2023,286.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2023,2023,2023,9,6
Foster Care,Training,2024,291.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2024,2024,2024,9,7
Foster Care,Training,2025,296.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2025,2025,2025,9,8
Foster Care,Training,2026,301.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2026,2026,2026,9,9
Foster Care,Training,2027,306.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2027,2027,2027,9,10
Foster Care,Training,2028,311.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2028,2028,2028,9,11
Foster Care,Training,2029,316.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Training",fiscal_year,2029,2029,2029,9,12
Foster Care,Information Technology,2019,226.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2019,2019,2019,10,2
Foster Care,Information Technology,2020,237.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2020,2020,2020,10,3
Foster Care,Information Technology,2021,249.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2021,2021,2021,10,4
Foster Care,Information Technology,2022,256.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2022,2022,2022,10,5
Foster Care,Information Technology,2023,261.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2023,2023,2023,10,6
Foster Care,Information Technology,2024,268.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2024,2024,2024,10,7
Foster Care,Information Technology,2025,274.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2025,2025,2025,10,8
Foster Care,Information Technology,2026,280.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2026,2026,2026,10,9
Foster Care,Information Technology,2027,287.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2027,2027,2027,10,10
Foster Care,Information Technology,2028,294.0,Millions of dollars,51299-2019-05-foster-care .xlsx,Table 1,false,51299,"Outlays in Millions of Dollars, by Fiscal Year / Information Technology",fiscal_year,2028,2028,2028,10,11
