program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Fostercare,Estimated Outlays,2024,10300.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2025,10435.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2026,10744.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2027,11083.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2028,11434.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2029,11844.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2030,12210.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2031,12600.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2033,13422.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Estimated Outlays,2034,13747.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2024,1837.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2025,1839.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2026,1885.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2027,1933.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2028,1981.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2029,2030.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2030,2081.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2031,2133.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2033,2241.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Maintenance Payments,2034,2297.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2024,3074.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2025,3159.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2026,3255.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2027,3362.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2028,3482.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2029,3611.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2030,3747.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2031,3892.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2033,4147.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Administration,2034,4251.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2024,309.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2025,318.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2026,328.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2027,337.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2028,346.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2029,355.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2030,364.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2031,374.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2033,393.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Training,2034,404.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2024,257.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2025,264.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2026,270.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2027,277.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2028,284.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2029,291.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
Fostercare,Information Technology,2030,299.0,"Millions of dollars, by fiscal year",51299-2024-02-fostercare.xlsx,Foster Care_02-2024,false
