program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Foster Care,Maintenance Payments,2025,1799.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2025,2025,2025,14,4
Foster Care,Maintenance Payments,2026,1836.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2026,2026,2026,14,5
Foster Care,Maintenance Payments,2027,1884.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2027,2027,2027,14,6
Foster Care,Maintenance Payments,2028,1943.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2028,2028,2028,14,7
Foster Care,Maintenance Payments,2029,2009.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2029,2029,2029,14,8
Foster Care,Maintenance Payments,2030,2079.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2030,2030,2030,14,9
Foster Care,Maintenance Payments,2031,2152.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2031,2031,2031,14,10
Foster Care,Maintenance Payments,2032,2227.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2032,2032,2032,14,11
Foster Care,Maintenance Payments,2033,2306.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2033,2033,2033,14,12
Foster Care,Maintenance Payments,2034,2393.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2034,2034,2034,14,13
Foster Care,Maintenance Payments,2035,2483.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Maintenance Payments",fiscal_year,2035,2035,2035,14,14
Foster Care,Administration,2025,3099.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2025,2025,2025,15,4
Foster Care,Administration,2026,3203.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2026,2026,2026,15,5
Foster Care,Administration,2027,3339.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2027,2027,2027,15,6
Foster Care,Administration,2028,3518.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2028,2028,2028,15,7
Foster Care,Administration,2029,3728.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2029,2029,2029,15,8
Foster Care,Administration,2030,3951.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2030,2030,2030,15,9
Foster Care,Administration,2031,4188.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2031,2031,2031,15,10
Foster Care,Administration,2032,4440.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2032,2032,2032,15,11
Foster Care,Administration,2033,4713.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2033,2033,2033,15,12
Foster Care,Administration,2034,5006.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2034,2034,2034,15,13
Foster Care,Administration,2035,5312.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Administration",fiscal_year,2035,2035,2035,15,14
Foster Care,Training,2025,307.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2025,2025,2025,16,4
Foster Care,Training,2026,310.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2026,2026,2026,16,5
Foster Care,Training,2027,314.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2027,2027,2027,16,6
Foster Care,Training,2028,317.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2028,2028,2028,16,7
Foster Care,Training,2029,320.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2029,2029,2029,16,8
Foster Care,Training,2030,323.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2030,2030,2030,16,9
Foster Care,Training,2031,326.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2031,2031,2031,16,10
Foster Care,Training,2032,330.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2032,2032,2032,16,11
Foster Care,Training,2033,333.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2033,2033,2033,16,12
Foster Care,Training,2034,336.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2034,2034,2034,16,13
Foster Care,Training,2035,340.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Training",fiscal_year,2035,2035,2035,16,14
Foster Care,Information Technology,2025,256.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2025,2025,2025,17,4
Foster Care,Information Technology,2026,259.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2026,2026,2026,17,5
Foster Care,Information Technology,2027,261.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2027,2027,2027,17,6
Foster Care,Information Technology,2028,264.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2028,2028,2028,17,7
Foster Care,Information Technology,2029,267.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2029,2029,2029,17,8
Foster Care,Information Technology,2030,269.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2030,2030,2030,17,9
Foster Care,Information Technology,2031,272.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2031,2031,2031,17,10
Foster Care,Information Technology,2032,275.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2032,2032,2032,17,11
Foster Care,Information Technology,2033,277.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2033,2033,2033,17,12
Foster Care,Information Technology,2034,280.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2034,2034,2034,17,13
Foster Care,Information Technology,2035,283.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Information Technology",fiscal_year,2035,2035,2035,17,14
Foster Care,Prevention Services and Technical Assistance,2025,181.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2025,2025,2025,18,4
Foster Care,Prevention Services and Technical Assistance,2026,211.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2026,2026,2026,18,5
Foster Care,Prevention Services and Technical Assistance,2027,251.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2027,2027,2027,18,6
Foster Care,Prevention Services and Technical Assistance,2028,281.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2028,2028,2028,18,7
Foster Care,Prevention Services and Technical Assistance,2029,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2029,2029,2029,18,8
Foster Care,Prevention Services and Technical Assistance,2030,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2030,2030,2030,18,9
Foster Care,Prevention Services and Technical Assistance,2031,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2031,2031,2031,18,10
Foster Care,Prevention Services and Technical Assistance,2032,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2032,2032,2032,18,11
Foster Care,Prevention Services and Technical Assistance,2033,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2033,2033,2033,18,12
Foster Care,Prevention Services and Technical Assistance,2034,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2034,2034,2034,18,13
Foster Care,Prevention Services and Technical Assistance,2035,351.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Prevention Services and Technical Assistance",fiscal_year,2035,2035,2035,18,14
Foster Care,Kinship Navigator Program,2025,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2025,2025,2025,19,4
Foster Care,Kinship Navigator Program,2026,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2026,2026,2026,19,5
Foster Care,Kinship Navigator Program,2027,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2027,2027,2027,19,6
Foster Care,Kinship Navigator Program,2028,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2028,2028,2028,19,7
Foster Care,Kinship Navigator Program,2029,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2029,2029,2029,19,8
Foster Care,Kinship Navigator Program,2030,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2030,2030,2030,19,9
Foster Care,Kinship Navigator Program,2031,14.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2031,2031,2031,19,10
Foster Care,Kinship Navigator Program,2032,15.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2032,2032,2032,19,11
Foster Care,Kinship Navigator Program,2033,15.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2033,2033,2033,19,12
Foster Care,Kinship Navigator Program,2034,15.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2034,2034,2034,19,13
Foster Care,Kinship Navigator Program,2035,15.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,false,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Kinship Navigator Program",fiscal_year,2035,2035,2035,19,14
Foster Care,Subtotal,2025,5656.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,true,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Subtotal",fiscal_year,2025,2025,2025,20,4
Foster Care,Subtotal,2026,5833.0,Millions of dollars,51299-2025-01-fostercare.xlsx,Foster Care_01-2025,true,51299,"Foster Care, Adoption Assistance, and Guardianship / Estimated Outlays for Foster Care / Subtotal",fiscal_year,2026,2026,2026,20,5
