program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Health Insurance,Total Population,,349.4,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2026,2026,2026,13,8
Health Insurance,Total Population,,350.3,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2027,2027,2027,13,9
Health Insurance,Total Population,,351.2,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2028,2028,2028,13,10
Health Insurance,Total Population,,352.2,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2029,2029,2029,13,11
Health Insurance,Total Population,,353.3,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2030,2030,2030,13,12
Health Insurance,Total Population,,354.3,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2031,2031,2031,13,13
Health Insurance,Total Population,,355.2,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2032,2032,2032,13,14
Health Insurance,Total Population,,356.1,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2033,2033,2033,13,15
Health Insurance,Total Population,,356.9,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2034,2034,2034,13,16
Health Insurance,Total Population,,357.7,Millions of people,51298-2026-02-healthinsurance.xlsx,healthinsuranceT1_02-2026,true,51298,"CBO’s Projections of Health Insurance Coverage, by Source / PARTICIPATION INFORMATION / Total Population",calendar_year,2035,2035,2035,13,17
