program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Health Insurance,Total Population Under Age 65,2019,272.611306,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2019,2019,2019,7,2
Health Insurance,Total Population Under Age 65,2020,272.963227,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2020,2020,2020,7,3
Health Insurance,Total Population Under Age 65,2021,273.392321,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2021,2021,2021,7,4
Health Insurance,Total Population Under Age 65,2022,273.8118,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2022,2022,2022,7,5
Health Insurance,Total Population Under Age 65,2023,274.217522,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2023,2023,2023,7,6
Health Insurance,Total Population Under Age 65,2024,274.721256,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2024,2024,2024,7,7
Health Insurance,Total Population Under Age 65,2025,275.181939,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2025,2025,2025,7,8
Health Insurance,Total Population Under Age 65,2026,275.559702,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2026,2026,2026,7,9
Health Insurance,Total Population Under Age 65,2027,276.011327,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2027,2027,2027,7,10
Health Insurance,Total Population Under Age 65,2028,276.498465,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2028,2028,2028,7,11
Health Insurance,Total Population Under Age 65,2029,277.039089,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,true,51298,Health Insurance Coverage for People Under Age 65 / Total Population Under Age 65,fiscal_year,2029,2029,2029,7,12
Health Insurance,Employment-Based Coverage,2019,158.85139498409808,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2019,2019,2019,9,2
Health Insurance,Employment-Based Coverage,2020,158.73712594550565,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2020,2020,2020,9,3
Health Insurance,Employment-Based Coverage,2021,158.37718269669773,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2021,2021,2021,9,4
Health Insurance,Employment-Based Coverage,2022,158.2783405311059,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2022,2022,2022,9,5
Health Insurance,Employment-Based Coverage,2023,158.06192240356282,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2023,2023,2023,9,6
Health Insurance,Employment-Based Coverage,2024,157.96175281224535,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2024,2024,2024,9,7
Health Insurance,Employment-Based Coverage,2025,157.73004508570904,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2025,2025,2025,9,8
Health Insurance,Employment-Based Coverage,2026,157.8709114642673,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2026,2026,2026,9,9
Health Insurance,Employment-Based Coverage,2027,157.8835394840483,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2027,2027,2027,9,10
Health Insurance,Employment-Based Coverage,2028,158.10908725253248,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2028,2028,2028,9,11
Health Insurance,Employment-Based Coverage,2029,158.16963251905932,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Employment-Based Coverage,fiscal_year,2029,2029,2029,9,12
Health Insurance,Blind and Disabled,2019,7.03,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2019,2019,2019,12,2
Health Insurance,Blind and Disabled,2020,7.0,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2020,2020,2020,12,3
Health Insurance,Blind and Disabled,2021,6.99,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2021,2021,2021,12,4
Health Insurance,Blind and Disabled,2022,7.01,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2022,2022,2022,12,5
Health Insurance,Blind and Disabled,2023,7.04,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2023,2023,2023,12,6
Health Insurance,Blind and Disabled,2024,7.08,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2024,2024,2024,12,7
Health Insurance,Blind and Disabled,2025,7.14,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2025,2025,2025,12,8
Health Insurance,Blind and Disabled,2026,7.19,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2026,2026,2026,12,9
Health Insurance,Blind and Disabled,2027,7.26,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2027,2027,2027,12,10
Health Insurance,Blind and Disabled,2028,7.33,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2028,2028,2028,12,11
Health Insurance,Blind and Disabled,2029,7.4,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Blind and Disabled,fiscal_year,2029,2029,2029,12,12
Health Insurance,Children,2019,29.84,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Children,fiscal_year,2019,2019,2019,13,2
Health Insurance,Children,2020,29.59,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Children,fiscal_year,2020,2020,2020,13,3
Health Insurance,Children,2021,29.7,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Children,fiscal_year,2021,2021,2021,13,4
Health Insurance,Children,2022,29.92,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Children,fiscal_year,2022,2022,2022,13,5
Health Insurance,Children,2023,30.07,Millions of people,51298-2020-03-healthinsurance.xlsx,Table 1-1,false,51298,Health Insurance Coverage for People Under Age 65 / Medicaid and CHIPa / Children,fiscal_year,2023,2023,2023,13,6
