program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Healthinsurance,Total Population Under Age 65,2023,270.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2024,270.90000000000003,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2025,271.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2026,270.90000000000003,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2027,270.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2028,270.90000000000003,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2029,271.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2030,271.2,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2031,271.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2032,272.2,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Total Population Under Age 65,2033,272.90000000000003,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,true
Healthinsurance,Employment-Based Coverage,2023,155.20000000000002,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2024,154.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2025,154.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2026,156.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2027,157.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2028,157.20000000000002,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2029,157.3,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2030,157.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2031,158.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2032,158.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Employment-Based Coverage,2033,158.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2023,7.6000000000000005,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2024,7.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2025,7.300000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2026,7.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2027,7.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2028,7.6000000000000005,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2029,7.6000000000000005,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2030,7.6000000000000005,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2031,7.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2032,7.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Blind and disabled people in Medicaid,2033,7.800000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2023,34.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2024,32.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2025,30.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2026,30.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2027,30.3,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2028,30.1,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2029,30.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2030,30.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2031,30.1,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2032,30.700000000000003,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Children in Medicaid,2033,31.6,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2023,17.400000000000002,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2024,14.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2025,13.8,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2026,13.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2027,14.100000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2028,14.200000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2029,14.3,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2030,14.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2031,14.700000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2032,14.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults made eligible for Medicaid by the ACA,2033,15.200000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2023,16.1,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2024,13.200000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2025,12.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2026,12.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2027,12.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2028,12.4,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2029,12.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2030,12.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2031,12.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2032,12.600000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,Adults otherwise eligible for Medicaid,2033,12.600000000000001,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2023,7.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2024,7.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2025,7.0,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2026,6.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2027,6.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2028,6.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2029,6.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2030,6.9,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2031,6.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2032,5.7,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
Healthinsurance,CHIP,2033,4.5,Millions of people,51298-2023-05-healthinsurance.xlsx,Table 1,false
