program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Highway Trust Fund,Start-of-Year Balance,2025,74632.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2025,2025,2025,14,4
Highway Trust Fund,Start-of-Year Balance,2026,56418.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2026,2026,2026,14,5
Highway Trust Fund,Start-of-Year Balance,2027,36386.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2027,2027,2027,14,6
Highway Trust Fund,Start-of-Year Balance,2028,14537.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2028,2028,2028,14,7
Highway Trust Fund,Flexed Balancesb,2025,-1452.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2025,2025,2025,15,4
Highway Trust Fund,Flexed Balancesb,2026,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2026,2026,2026,15,5
Highway Trust Fund,Flexed Balancesb,2027,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2027,2027,2027,15,6
Highway Trust Fund,Flexed Balancesb,2028,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2028,2028,2028,15,7
Highway Trust Fund,Flexed Balancesb,2029,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2029,2029,2029,15,8
Highway Trust Fund,Flexed Balancesb,2030,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2030,2030,2030,15,9
Highway Trust Fund,Flexed Balancesb,2031,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2031,2031,2031,15,10
Highway Trust Fund,Flexed Balancesb,2032,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2032,2032,2032,15,11
Highway Trust Fund,Flexed Balancesb,2033,-1200.0,Millions of dollars,51300-2026-02-highwaytrustfund.xlsx,HTF_02-2026,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2033,2033,2033,15,12
