program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Highway Trust Fund,Start-of-Year Balance,2018,41443.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Start-of-Year Balance,fiscal_year,2018,2018,2018,8,5
Highway Trust Fund,Start-of-Year Balance,2019,32605.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Start-of-Year Balance,fiscal_year,2019,2019,2019,8,6
Highway Trust Fund,Start-of-Year Balance,2020,23542.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Start-of-Year Balance,fiscal_year,2020,2020,2020,8,7
Highway Trust Fund,Start-of-Year Balance,2021,13518.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Start-of-Year Balance,fiscal_year,2021,2021,2021,8,8
Highway Trust Fund,Start-of-Year Balance,2022,2278.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Start-of-Year Balance,fiscal_year,2022,2022,2022,8,9
Highway Trust Fund,Revenues and Interestb,2018,37835.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2018,2018,2018,9,5
Highway Trust Fund,Revenues and Interestb,2019,37905.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2019,2019,2019,9,6
Highway Trust Fund,Revenues and Interestb,2020,37739.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2020,2020,2020,9,7
Highway Trust Fund,Revenues and Interestb,2021,37306.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2021,2021,2021,9,8
Highway Trust Fund,Revenues and Interestb,2022,36955.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2022,2022,2022,9,9
Highway Trust Fund,Revenues and Interestb,2023,36762.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2023,2023,2023,9,10
Highway Trust Fund,Revenues and Interestb,2024,36650.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2024,2024,2024,9,11
Highway Trust Fund,Revenues and Interestb,2025,36560.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2025,2025,2025,9,12
Highway Trust Fund,Revenues and Interestb,2026,36494.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2026,2026,2026,9,13
Highway Trust Fund,Revenues and Interestb,2027,36468.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2027,2027,2027,9,14
Highway Trust Fund,Revenues and Interestb,2028,36508.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2028,2028,2028,9,15
Highway Trust Fund,Revenues and Interestb,2029,36583.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Revenues and Interestb,fiscal_year,2029,2029,2029,9,16
Highway Trust Fund,Intragovernmental Transfers,2018,93.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Intragovernmental Transfers,fiscal_year,2018,2018,2018,10,5
Highway Trust Fund,Intragovernmental Transfers,2019,0.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Intragovernmental Transfers,fiscal_year,2019,2019,2019,10,6
Highway Trust Fund,Intragovernmental Transfers,2020,0.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Intragovernmental Transfers,fiscal_year,2020,2020,2020,10,7
Highway Trust Fund,Intragovernmental Transfers,2021,0.0,Millions of dollars,51300-2019-05-Highway-Trust-Fund.xlsx,Table 1,false,51300,Intragovernmental Transfers,fiscal_year,2021,2021,2021,10,8
