program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Highway Trust Fund,Start-of-Year Balance,2021,12621.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2021,2021,2021,14,4
Highway Trust Fund,Start-of-Year Balance,2022,14264.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2022,2022,2022,14,5
Highway Trust Fund,Start-of-Year Balance,2023,95343.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2023,2023,2023,14,6
Highway Trust Fund,Start-of-Year Balance,2024,82405.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2024,2024,2024,14,7
Highway Trust Fund,Start-of-Year Balance,2025,65459.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2025,2025,2025,14,8
Highway Trust Fund,Start-of-Year Balance,2026,45225.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2026,2026,2026,14,9
Highway Trust Fund,Start-of-Year Balance,2027,21645.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Start-of-Year Balance,fiscal_year,2027,2027,2027,14,10
Highway Trust Fund,Flexed Balancesb,2021,-1085.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2021,2021,2021,15,4
Highway Trust Fund,Flexed Balancesb,2022,-1200.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2022,2022,2022,15,5
Highway Trust Fund,Flexed Balancesb,2023,-1200.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2023,2023,2023,15,6
Highway Trust Fund,Flexed Balancesb,2024,-1200.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2024,2024,2024,15,7
Highway Trust Fund,Flexed Balancesb,2025,-1200.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2025,2025,2025,15,8
Highway Trust Fund,Flexed Balancesb,2026,-1200.0,Millions of dollars,51300-2022-05-highwaytrustfund.xlsx,HTF_05-2022,false,51300,Highway Trust Fund Accounts / Highway Account / Flexed Balancesb,fiscal_year,2026,2026,2026,15,9
