program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Highwaytrustfund,Start-of-Year Balance,2023,98913.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Start-of-Year Balance,2024,89649.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Start-of-Year Balance,2025,79408.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Start-of-Year Balance,2026,64143.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Start-of-Year Balance,2027,44144.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Start-of-Year Balance,2028,20586.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2023,-1065.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2024,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2025,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2026,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2027,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2028,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2029,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2030,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2031,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2032,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2033,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Flexed Balancesb,2034,-1200.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2023,41958.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2024,43862.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2025,42757.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2026,41393.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2027,40268.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2028,39255.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2029,38633.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2030,37936.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2031,37013.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2032,36171.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
Highwaytrustfund,Revenues and Interestc,2033,35495.0,Millions of dollars,51300-2024-06-highwaytrustfund.xlsx,HTF_06-2024,false
