program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Medicaid,Disproportionate Share Hospitals,2018,9.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2018,2018,2018,17,6
Medicaid,Disproportionate Share Hospitals,2019,10.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2019,2019,2019,17,7
Medicaid,Disproportionate Share Hospitals,2020,8.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2020,2020,2020,17,8
Medicaid,Disproportionate Share Hospitals,2021,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2021,2021,2021,17,9
Medicaid,Disproportionate Share Hospitals,2022,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2022,2022,2022,17,10
Medicaid,Disproportionate Share Hospitals,2023,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2023,2023,2023,17,11
Medicaid,Disproportionate Share Hospitals,2024,6.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2024,2024,2024,17,12
Medicaid,Disproportionate Share Hospitals,2025,6.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2025,2025,2025,17,13
Medicaid,Disproportionate Share Hospitals,2026,7.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2026,2026,2026,17,14
Medicaid,Disproportionate Share Hospitals,2027,8.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2027,2027,2027,17,15
Medicaid,Disproportionate Share Hospitals,2028,10.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2028,2028,2028,17,16
Medicaid,Disproportionate Share Hospitals,2029,12.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Disproportionate Share Hospitals,fiscal_year,2029,2029,2029,17,17
Medicaid,Vaccines for Children,2018,4.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2018,2018,2018,18,6
Medicaid,Vaccines for Children,2019,4.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2019,2019,2019,18,7
Medicaid,Vaccines for Children,2020,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2020,2020,2020,18,8
Medicaid,Vaccines for Children,2021,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2021,2021,2021,18,9
Medicaid,Vaccines for Children,2022,5.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2022,2022,2022,18,10
Medicaid,Vaccines for Children,2023,6.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2023,2023,2023,18,11
Medicaid,Vaccines for Children,2024,6.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2024,2024,2024,18,12
Medicaid,Vaccines for Children,2025,6.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2025,2025,2025,18,13
Medicaid,Vaccines for Children,2026,7.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2026,2026,2026,18,14
Medicaid,Vaccines for Children,2027,7.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2027,2027,2027,18,15
Medicaid,Vaccines for Children,2028,7.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2028,2028,2028,18,16
Medicaid,Vaccines for Children,2029,8.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Vaccines for Children,fiscal_year,2029,2029,2029,18,17
Medicaid,Administration,2018,18.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2018,2018,2018,19,6
Medicaid,Administration,2019,18.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2019,2019,2019,19,7
Medicaid,Administration,2020,19.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2020,2020,2020,19,8
Medicaid,Administration,2021,20.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2021,2021,2021,19,9
Medicaid,Administration,2022,21.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2022,2022,2022,19,10
Medicaid,Administration,2023,22.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2023,2023,2023,19,11
Medicaid,Administration,2024,23.0,Billions of dollars,51301-2019-05-Medicaid.xlsx,Table 1,false,51301,By Fiscal Year / Benefits / Administration,fiscal_year,2024,2024,2024,19,12
