program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Medicaid,Estimated Outlaysa,2022,592.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2023,594.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2024,539.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2025,537.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2026,574.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2027,613.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2028,650.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2029,690.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2030,733.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2031,777.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2032,826.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Estimated Outlaysa,2033,879.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2022,122.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2023,127.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2024,106.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2025,100.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2026,109.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2027,117.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2028,125.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2029,134.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2030,143.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2031,153.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2032,164.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Fee for service,2033,176.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2022,272.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2023,281.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2024,264.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2025,265.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2026,283.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2027,302.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2028,319.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2029,340.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2030,361.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2031,385.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2032,412.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Managed care,2033,440.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2022,16.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2023,16.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2024,17.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2025,18.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2026,20.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2027,22.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2028,24.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2029,26.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2030,28.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2031,31.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2032,33.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Medicare premiums,2033,36.52642650912371,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Institutional care,2022,50.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
Medicaid,Institutional care,2023,49.0,Billions of dollars,51301-2023-05-medicaid.xlsx,Medicaid_05-2023,false
