program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Medicaid,Estimated Outlaysa,2024,607.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2024,2024,2024,14,5
Medicaid,Estimated Outlaysa,2025,600.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2025,2025,2025,14,6
Medicaid,Estimated Outlaysa,2026,614.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2026,2026,2026,14,7
Medicaid,Estimated Outlaysa,2027,642.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2027,2027,2027,14,8
Medicaid,Estimated Outlaysa,2028,680.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2028,2028,2028,14,9
Medicaid,Estimated Outlaysa,2029,717.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2029,2029,2029,14,10
Medicaid,Estimated Outlaysa,2030,756.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2030,2030,2030,14,11
Medicaid,Estimated Outlaysa,2031,796.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2031,2031,2031,14,12
Medicaid,Estimated Outlaysa,2032,838.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2032,2032,2032,14,13
Medicaid,Estimated Outlaysa,2033,886.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2033,2033,2033,14,14
Medicaid,Estimated Outlaysa,2034,933.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / BUDGET INFORMATION / Estimated Outlaysa",fiscal_year,2034,2034,2034,14,15
Medicaid,Fee for service,2024,120.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2024,2024,2024,19,5
Medicaid,Fee for service,2025,116.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2025,2025,2025,19,6
Medicaid,Fee for service,2026,118.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2026,2026,2026,19,7
Medicaid,Fee for service,2027,122.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2027,2027,2027,19,8
Medicaid,Fee for service,2028,130.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2028,2028,2028,19,9
Medicaid,Fee for service,2029,138.0,Billions of dollars,51301-2024-06-medicaid.xlsx,Medicaid_06-2024-rev,false,51301,"Actual, / Benefits / Acute care / Fee for service",fiscal_year,2029,2029,2029,19,10
