program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Medicare,Mandatory Outlaysa,2025,1180.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2025,2025,2025,14,4
Medicare,Mandatory Outlaysa,2026,1287.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2026,2026,2026,14,5
Medicare,Mandatory Outlaysa,2027,1374.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2027,2027,2027,14,6
Medicare,Mandatory Outlaysa,2028,1533.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2028,2028,2028,14,7
Medicare,Mandatory Outlaysa,2029,1470.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2029,2029,2029,14,8
Medicare,Mandatory Outlaysa,2030,1649.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2030,2030,2030,14,9
Medicare,Mandatory Outlaysa,2031,1753.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2031,2031,2031,14,10
Medicare,Mandatory Outlaysa,2032,1867.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2032,2032,2032,14,11
Medicare,Mandatory Outlaysa,2033,2123.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2033,2033,2033,14,12
Medicare,Mandatory Outlaysa,2034,2153.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2034,2034,2034,14,13
Medicare,Mandatory Outlaysa,2035,2155.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2035,2035,2035,14,14
Medicare,Mandatory Outlaysa,2036,2421.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Mandatory Outlaysa,fiscal_year,2036,2036,2036,14,15
Medicare,Discretionary Outlays,2025,9.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2025,2025,2025,15,4
Medicare,Discretionary Outlays,2026,8.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2026,2026,2026,15,5
Medicare,Discretionary Outlays,2027,9.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2027,2027,2027,15,6
Medicare,Discretionary Outlays,2028,9.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2028,2028,2028,15,7
Medicare,Discretionary Outlays,2029,10.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2029,2029,2029,15,8
Medicare,Discretionary Outlays,2030,10.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2030,2030,2030,15,9
Medicare,Discretionary Outlays,2031,10.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2031,2031,2031,15,10
Medicare,Discretionary Outlays,2032,11.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2032,2032,2032,15,11
Medicare,Discretionary Outlays,2033,11.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2033,2033,2033,15,12
Medicare,Discretionary Outlays,2034,11.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2034,2034,2034,15,13
Medicare,Discretionary Outlays,2035,12.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2035,2035,2035,15,14
Medicare,Discretionary Outlays,2036,12.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Discretionary Outlays,fiscal_year,2036,2036,2036,15,15
Medicare,Gross Outlays,2025,1189.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2025,2025,2025,16,4
Medicare,Gross Outlays,2026,1295.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2026,2026,2026,16,5
Medicare,Gross Outlays,2027,1382.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2027,2027,2027,16,6
Medicare,Gross Outlays,2028,1542.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2028,2028,2028,16,7
Medicare,Gross Outlays,2029,1480.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2029,2029,2029,16,8
Medicare,Gross Outlays,2030,1659.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2030,2030,2030,16,9
Medicare,Gross Outlays,2031,1763.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2031,2031,2031,16,10
Medicare,Gross Outlays,2032,1877.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2032,2032,2032,16,11
Medicare,Gross Outlays,2033,2134.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2033,2033,2033,16,12
Medicare,Gross Outlays,2034,2165.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2034,2034,2034,16,13
Medicare,Gross Outlays,2035,2167.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2035,2035,2035,16,14
Medicare,Gross Outlays,2036,2433.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Gross Outlays,fiscal_year,2036,2036,2036,16,15
Medicare,Total Offsetting Receiptsb,2025,-192.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2025,2025,2025,17,4
Medicare,Total Offsetting Receiptsb,2026,-224.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2026,2026,2026,17,5
Medicare,Total Offsetting Receiptsb,2027,-234.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2027,2027,2027,17,6
Medicare,Total Offsetting Receiptsb,2028,-249.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2028,2028,2028,17,7
Medicare,Total Offsetting Receiptsb,2029,-266.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2029,2029,2029,17,8
Medicare,Total Offsetting Receiptsb,2030,-292.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2030,2030,2030,17,9
Medicare,Total Offsetting Receiptsb,2031,-316.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2031,2031,2031,17,10
Medicare,Total Offsetting Receiptsb,2032,-340.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2032,2032,2032,17,11
Medicare,Total Offsetting Receiptsb,2033,-368.0,Billions of dollars,51302-2026-02-medicare.xlsx,Medicare_02-2026,true,51302,Medicare Totals / Total Offsetting Receiptsb,fiscal_year,2033,2033,2033,17,12
