program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Medicare,Mandatory Outlays (a),2019,775.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2019,2019,2019,7,3
Medicare,Mandatory Outlays (a),2020,828.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2020,2020,2020,7,4
Medicare,Mandatory Outlays (a),2021,886.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2021,2021,2021,7,5
Medicare,Mandatory Outlays (a),2022,993.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2022,2022,2022,7,6
Medicare,Mandatory Outlays (a),2023,1027.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2023,2023,2023,7,7
Medicare,Mandatory Outlays (a),2024,1055.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2024,2024,2024,7,8
Medicare,Mandatory Outlays (a),2025,1182.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2025,2025,2025,7,9
Medicare,Mandatory Outlays (a),2026,1269.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2026,2026,2026,7,10
Medicare,Mandatory Outlays (a),2027,1363.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2027,2027,2027,7,11
Medicare,Mandatory Outlays (a),2028,1531.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2028,2028,2028,7,12
Medicare,Mandatory Outlays (a),2029,1504.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2029,2029,2029,7,13
Medicare,Mandatory Outlays (a),2030,1715.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Mandatory Outlays (a),fiscal_year,2030,2030,2030,7,14
Medicare,Discretionary Outlays,2019,7.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Discretionary Outlays,fiscal_year,2019,2019,2019,8,3
Medicare,Discretionary Outlays,2020,8.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Discretionary Outlays,fiscal_year,2020,2020,2020,8,4
Medicare,Discretionary Outlays,2021,8.0,Billions of dollars,51302-2020-03-medicare.xlsx,Medicare,true,51302,Medicare Totals (Billions of dollars) / Discretionary Outlays,fiscal_year,2021,2021,2021,8,5
