program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Medicare,Mandatory Outlaysa,2021,868.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2022,983.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2023,1019.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2024,1034.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2025,1165.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2026,1262.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2027,1360.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2028,1541.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2029,1480.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2030,1672.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2031,1782.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Mandatory Outlaysa,2032,1929.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2021,8.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2022,7.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2023,8.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2024,9.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2025,9.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2026,10.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2027,10.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2028,10.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2029,11.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2030,11.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2031,12.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Discretionary Outlays,2032,12.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
Medicare,Gross Outlays,2021,875.0,Billions of dollars,51302-2022-05-medicare.xlsx,Medicare_05-2022,false
