program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Military Retirement,Number (Thousands),2019,2172.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2020,2177.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2021,2183.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2022,2189.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2023,2196.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2024,2202.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2025,2207.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2026,2210.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2027,2212.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2028,2211.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Number (Thousands),2029,2210.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2019,26146.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2020,27027.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2021,27860.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2022,28654.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2023,29372.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2024,30066.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2025,30805.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2026,31544.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2027,32305.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2028,33115.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,Average Annual Benefit (Dollars),2029,33991.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2019,56777.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2020,58847.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2021,60812.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2022,62727.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2023,64491.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2024,66212.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2025,67989.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2026,69717.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2027,71448.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2028,73230.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars),2029,75110.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2019,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2020,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2021,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2022,5100.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2023,150.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2024,-5250.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2025,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2026,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2027,0.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2028,5950.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
Military Retirement,(Millions of dollars)a,2029,-5950.0,Average Annual Benefit (Dollars),51303-2019-05-Military-Retirement.xlsx,Table 1,false
