program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Military Retirement,Budget Authority,2022,67.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2022,2022,2022,13,4
Military Retirement,Budget Authority,2023,73.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2023,2023,2023,13,5
Military Retirement,Budget Authority,2024,77.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2024,2024,2024,13,6
Military Retirement,Budget Authority,2025,80.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2025,2025,2025,13,7
Military Retirement,Budget Authority,2026,83.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2026,2026,2026,13,8
Military Retirement,Budget Authority,2027,86.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2027,2027,2027,13,9
Military Retirement,Budget Authority,2028,88.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2028,2028,2028,13,10
Military Retirement,Budget Authority,2029,91.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2029,2029,2029,13,11
Military Retirement,Budget Authority,2030,94.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2030,2030,2030,13,12
Military Retirement,Budget Authority,2031,97.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2031,2031,2031,13,13
Military Retirement,Budget Authority,2032,100.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,fiscal_year,2032,2032,2032,13,14
Military Retirement,Budget Authority,,399.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,cumulative_fiscal_years,2023,2027,2023-2027,13,15
Military Retirement,Budget Authority,,869.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Budget Authority,cumulative_fiscal_years,2023,2032,2023-2032,13,16
Military Retirement,Estimated Outlays,2022,71.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2022,2022,2022,15,4
Military Retirement,Estimated Outlays,2023,73.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2023,2023,2023,15,5
Military Retirement,Estimated Outlays,2024,72.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,15,6
Military Retirement,Estimated Outlays,2025,80.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,15,7
Military Retirement,Estimated Outlays,2026,83.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,15,8
Military Retirement,Estimated Outlays,2027,85.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2027,2027,2027,15,9
Military Retirement,Estimated Outlays,2028,94.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2028,2028,2028,15,10
Military Retirement,Estimated Outlays,2029,85.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2029,2029,2029,15,11
Military Retirement,Estimated Outlays,2030,94.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2030,2030,2030,15,12
Military Retirement,Estimated Outlays,2031,97.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2031,2031,2031,15,13
Military Retirement,Estimated Outlays,2032,99.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2032,2032,2032,15,14
Military Retirement,Estimated Outlays,,393.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,cumulative_fiscal_years,2023,2027,2023-2027,15,15
Military Retirement,Estimated Outlays,,862.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / BUDGET INFORMATION / Estimated Outlays,cumulative_fiscal_years,2023,2032,2023-2032,15,16
Military Retirement,Excluding Effects of Payday Shift,2022,66.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2022,2022,2022,19,4
Military Retirement,Excluding Effects of Payday Shift,2023,73.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2023,2023,2023,19,5
Military Retirement,Excluding Effects of Payday Shift,2024,77.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2024,2024,2024,19,6
Military Retirement,Excluding Effects of Payday Shift,2025,80.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2025,2025,2025,19,7
Military Retirement,Excluding Effects of Payday Shift,2026,83.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2026,2026,2026,19,8
Military Retirement,Excluding Effects of Payday Shift,2027,85.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2027,2027,2027,19,9
Military Retirement,Excluding Effects of Payday Shift,2028,88.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2028,2028,2028,19,10
Military Retirement,Excluding Effects of Payday Shift,2029,91.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2029,2029,2029,19,11
Military Retirement,Excluding Effects of Payday Shift,2030,94.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2030,2030,2030,19,12
Military Retirement,Excluding Effects of Payday Shift,2031,97.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2031,2031,2031,19,13
Military Retirement,Excluding Effects of Payday Shift,2032,99.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,fiscal_year,2032,2032,2032,19,14
Military Retirement,Excluding Effects of Payday Shift,,398.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,cumulative_fiscal_years,2023,2027,2023-2027,19,15
Military Retirement,Excluding Effects of Payday Shift,,867.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Excluding Effects of Payday Shift,cumulative_fiscal_years,2023,2032,2023-2032,19,16
Military Retirement,Adjustment for Payday Shifta,2022,5.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Adjustment for Payday Shifta,fiscal_year,2022,2022,2022,20,4
Military Retirement,Adjustment for Payday Shifta,2023,0.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Adjustment for Payday Shifta,fiscal_year,2023,2023,2023,20,5
Military Retirement,Adjustment for Payday Shifta,2024,-5.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Adjustment for Payday Shifta,fiscal_year,2024,2024,2024,20,6
Military Retirement,Adjustment for Payday Shifta,2025,0.0,Billions of dollars,51303-2022-05-militaryretirement_0.xlsx,Mil Retirement_5-2022,false,51303,Military Retirement / Components of the Military Retirement Program / Adjustment for Payday Shifta,fiscal_year,2025,2025,2025,20,7
