program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Military Retirement,Number (Thousands),2020,2178.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2020,2020,2020,10,2
Military Retirement,Number (Thousands),2021,2185.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2021,2021,2021,10,3
Military Retirement,Number (Thousands),2022,2192.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2022,2022,2022,10,4
Military Retirement,Number (Thousands),2023,2199.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2023,2023,2023,10,5
Military Retirement,Number (Thousands),2024,2205.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2024,2024,2024,10,6
Military Retirement,Number (Thousands),2025,2210.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2025,2025,2025,10,7
Military Retirement,Number (Thousands),2026,2213.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2026,2026,2026,10,8
Military Retirement,Number (Thousands),2027,2215.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2027,2027,2027,10,9
Military Retirement,Number (Thousands),2028,2216.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2028,2028,2028,10,10
Military Retirement,Number (Thousands),2029,2215.0,Thousands,51303-2020-01-militaryretirement.xlsx,MilitaryRetirement,false,51303,By Fiscal Year / Retirees / Number (Thousands),fiscal_year,2029,2029,2029,10,11
