program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Mortgages,Dollar Volume of Mortgage Originationsa,2022,3182000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2022,2022,2022,13,4
Mortgages,Dollar Volume of Mortgage Originationsa,2023,2575000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2023,2023,2023,13,5
Mortgages,Dollar Volume of Mortgage Originationsa,2024,2832000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2024,2024,2024,13,6
Mortgages,Dollar Volume of Mortgage Originationsa,2025,3257000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2025,2025,2025,13,7
Mortgages,Dollar Volume of Mortgage Originationsa,2026,3167000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2026,2026,2026,13,8
Mortgages,Dollar Volume of Mortgage Originationsa,2027,2867000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2027,2027,2027,13,9
Mortgages,Dollar Volume of Mortgage Originationsa,2028,2889000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2028,2028,2028,13,10
Mortgages,Dollar Volume of Mortgage Originationsa,2029,3168000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2029,2029,2029,13,11
Mortgages,Dollar Volume of Mortgage Originationsa,2030,3429000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2030,2030,2030,13,12
Mortgages,Dollar Volume of Mortgage Originationsa,2031,3636000.0,Millions of dollars,51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2031,2031,2031,13,13
