program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Mortgages 0,Dollar Volume of Mortgage Originationsa,2022,3182000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2023,2575000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2024,2832000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2025,3257000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2026,3167000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2027,2867000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2028,2889000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2029,3168000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2030,3429000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2031,3636000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Mortgage Originationsa,2032,3838000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2022,1750000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2023,1288000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2024,1359000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2025,1466000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2026,1425000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2027,1290000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2028,1300000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2029,1426000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2030,1543000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2031,1636000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Dollar Volume of Annual Loans,2032,1727000.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2022,55.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2023,50.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2024,48.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2025,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2026,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2027,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2028,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2029,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2030,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2031,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Share of Originations (Percent),2032,45.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Cash Receiptsb,2022,-5700.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2023,3900.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2024,6400.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2025,7400.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2026,6300.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2027,4300.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
Mortgages 0,Annual Subsidy Costsc,2028,3200.0,"By Fiscal Year, Millions of Dollars",51297-2022-05-mortgages_0.xlsx,Mortgages_0x-2022,false
