program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Mortgages,Dollar Volume of Mortgage Originationsa,2023,1638000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2023,2023,2023,13,4
Mortgages,Dollar Volume of Mortgage Originationsa,2024,1718000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2024,2024,2024,13,5
Mortgages,Dollar Volume of Mortgage Originationsa,2025,2025000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2025,2025,2025,13,6
Mortgages,Dollar Volume of Mortgage Originationsa,2026,2507000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2026,2026,2026,13,7
Mortgages,Dollar Volume of Mortgage Originationsa,2027,2854000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2027,2027,2027,13,8
Mortgages,Dollar Volume of Mortgage Originationsa,2028,3035000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2028,2028,2028,13,9
Mortgages,Dollar Volume of Mortgage Originationsa,2029,3204000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2029,2029,2029,13,10
Mortgages,Dollar Volume of Mortgage Originationsa,2030,3455000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2030,2030,2030,13,11
Mortgages,Dollar Volume of Mortgage Originationsa,2031,3706000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2031,2031,2031,13,12
Mortgages,Dollar Volume of Mortgage Originationsa,2032,3887000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2032,2032,2032,13,13
Mortgages,Dollar Volume of Mortgage Originationsa,2033,4026000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / BUDGET INFORMATION / Dollar Volume of Mortgage Originationsa,fiscal_year,2033,2033,2033,13,14
Mortgages,Dollar Volume of Annual Loans,2023,819000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2023,2023,2023,16,4
Mortgages,Dollar Volume of Annual Loans,2024,804000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2024,2024,2024,16,5
Mortgages,Dollar Volume of Annual Loans,2025,886000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2025,2025,2025,16,6
Mortgages,Dollar Volume of Annual Loans,2026,1096000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2026,2026,2026,16,7
Mortgages,Dollar Volume of Annual Loans,2027,1248000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2027,2027,2027,16,8
Mortgages,Dollar Volume of Annual Loans,2028,1327000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2028,2028,2028,16,9
Mortgages,Dollar Volume of Annual Loans,2029,1401000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2029,2029,2029,16,10
Mortgages,Dollar Volume of Annual Loans,2030,1511000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2030,2030,2030,16,11
Mortgages,Dollar Volume of Annual Loans,2031,1621000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2031,2031,2031,16,12
Mortgages,Dollar Volume of Annual Loans,2032,1700000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2032,2032,2032,16,13
Mortgages,Dollar Volume of Annual Loans,2033,1761000.0,Millions of dollars,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Dollar Volume of Annual Loans,fiscal_year,2033,2033,2033,16,14
Mortgages,Share of Originations (Percent),2023,50.0,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2023,2023,2023,17,4
Mortgages,Share of Originations (Percent),2024,46.8,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2024,2024,2024,17,5
Mortgages,Share of Originations (Percent),2025,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2025,2025,2025,17,6
Mortgages,Share of Originations (Percent),2026,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2026,2026,2026,17,7
Mortgages,Share of Originations (Percent),2027,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2027,2027,2027,17,8
Mortgages,Share of Originations (Percent),2028,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2028,2028,2028,17,9
Mortgages,Share of Originations (Percent),2029,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2029,2029,2029,17,10
Mortgages,Share of Originations (Percent),2030,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2030,2030,2030,17,11
Mortgages,Share of Originations (Percent),2031,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2031,2031,2031,17,12
Mortgages,Share of Originations (Percent),2032,43.7,Percent,51297-2023-05-mortgages.xlsx,Mortgages_05-2023,false,51297,Federal Programs That Guarantee Mortgages / Fannie Mae and Freddie Mac / Share of Originations (Percent),fiscal_year,2032,2032,2032,17,13
