program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Pell Grant,Regular Discretionary Appropriationa,2011,22956.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2011,2011,2011,10,2
Pell Grant,Regular Discretionary Appropriationa,2012,22824.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2012,2012,2012,10,3
Pell Grant,Regular Discretionary Appropriationa,2013,22778.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2013,2013,2013,10,4
Pell Grant,Regular Discretionary Appropriationa,2014,22778.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2014,2014,2014,10,5
Pell Grant,Regular Discretionary Appropriationa,2015,22475.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2015,2015,2015,10,6
Pell Grant,Regular Discretionary Appropriationa,2016,22475.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2016,2016,2016,10,7
Pell Grant,Regular Discretionary Appropriationa,2017,21165.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2017,2017,2017,10,8
Pell Grant,Regular Discretionary Appropriationa,2018,22475.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2018,2018,2018,10,9
Pell Grant,Regular Discretionary Appropriationa,2019,21875.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2019,2019,2019,10,10
Pell Grant,Regular Discretionary Appropriationa,2020,21975.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Historical Pell Grant Funding and Program Costs / Regular Discretionary Appropriationa,fiscal_year,2020,2020,2020,10,11
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2011,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2011,2011,2011,12,2
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2012,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2012,2012,2012,12,3
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2013,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2013,2013,2013,12,4
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2014,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2014,2014,2014,12,5
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2015,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2015,2015,2015,12,6
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2016,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2016,2016,2016,12,7
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2017,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2017,2017,2017,12,8
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2018,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2018,2018,2018,12,9
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2019,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2019,2019,2019,12,10
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2020,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / American Recovery and Reinvestment Act of 2009 (ARRA),fiscal_year,2020,2020,2020,12,11
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2011,13500.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2011,2011,2011,13,2
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2012,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2012,2012,2012,13,3
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2013,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2013,2013,2013,13,4
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2014,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2014,2014,2014,13,5
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2015,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2015,2015,2015,13,6
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2016,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2016,2016,2016,13,7
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2017,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2017,2017,2017,13,8
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2018,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2018,2018,2018,13,9
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2019,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2019,2019,2019,13,10
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2020,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / Healthcare and Education Reconciliation Act of 2010,fiscal_year,2020,2020,2020,13,11
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2011,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2011,2011,2011,14,2
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2012,3183.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2012,2012,2012,14,3
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2013,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2013,2013,2013,14,4
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2014,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2014,2014,2014,14,5
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2015,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2015,2015,2015,14,6
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2016,0.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2016,2016,2016,14,7
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2017,1060.0,Millions of dollars,51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false,51304,Amount and Source of Additional Fundingb / DoD and Full-Year Continuing Appropiations Act of 2011,fiscal_year,2017,2017,2017,14,8
