program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Pell Grant,Regular Discretionary Appropriationa,2019,21875.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,American Recovery and Reinvestment Act of 2009 (ARRA),2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,Healthcare and Education Reconciliation Act of 2010,2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,DoD and Full-Year Continuing Appropiations Act of 2011,2019,1125.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,Budget Control Act of 2011,2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,"Consolidated Appropriations Act, 2012",2019,284.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,"Consolidated Appropriations Act, 2017",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,"Consolidated Appropriations Act, 2018",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,"Labor HHS Education Appropriations Act, 2019",2019,-39.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,Total Budget Authority for Discretionary Program,2019,23245.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,true
Pell Grant,Previous Year Shortfall (-) or Surplus,2019,8537.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,Total Available Budget Authority,2019,31782.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,true
Pell Grant,Estimated Program Costsa,2019,23806.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,Cumulative Shortfall (-) or Surplusc,2019,7976.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 1,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2020,24077.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2021,24645.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2022,25478.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2023,26243.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2024,26824.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2025,27447.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2026,28225.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2027,29046.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2028,29965.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Program Cost for $5,135 Maximum Award",2029,30732.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2020,7976.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2021,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2022,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2023,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2024,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2025,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2026,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2027,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2028,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,"Estimated Cumulative Surplus, 2006 to 2019a",2029,0.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2020,1430.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2021,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2022,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2023,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2024,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2025,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2026,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2027,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2028,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Mandatory-for-Discretionary Budget Authorityb,2029,1145.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Total Additional Budget Authority Neededc,2020,14671.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2021,23500.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2022,24333.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2023,25098.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2024,25679.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2025,26302.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2026,27080.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2027,27901.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2028,28820.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Total Additional Budget Authority Neededc,2029,29587.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,true
Pell Grant,Budget authority,2020,22925.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2021,23396.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2022,23868.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2023,24363.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2024,24880.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2025,25397.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2026,25914.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2027,26431.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2028,26992.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Budget authority,2029,27532.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2020,25088.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2021,28871.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2022,23594.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2023,23992.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2024,24492.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2025,25009.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2026,25526.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2027,26043.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2028,26572.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Estimated outlays,2029,27127.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 2,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2019,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2020,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2021,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2022,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2023,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2024,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2025,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2026,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2027,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2028,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Assumed Discretionary Maximum Award (Dollars)a,2029,5135.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2019,23806.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2020,24077.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2021,24645.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2022,25478.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2023,26243.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2024,26824.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2025,27447.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2026,28225.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2027,29046.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2028,29965.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated program costs,2029,30732.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2019,23758.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2020,23876.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2021,24222.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2022,24856.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2023,25669.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
Pell Grant,Estimated outlays,2024,26386.0,"Millions of Dollars, by Fiscal Year",51304-2019-05-Pell-Grant.xlsx,Table 3,false
