program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Pellgrant,Regular Discretionary Appropriationa,2019,21875.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Regular Discretionary Appropriationa,2020,21975.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,American Recovery and Reinvestment Act of 2009 (ARRA),2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,American Recovery and Reinvestment Act of 2009 (ARRA),2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Healthcare and Education Reconciliation Act of 2010,2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Healthcare and Education Reconciliation Act of 2010,2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,DoD and Full-Year Continuing Appropiations Act of 2011,2019,1125.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,DoD and Full-Year Continuing Appropiations Act of 2011,2020,1140.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Budget Control Act of 2011,2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Budget Control Act of 2011,2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2012",2019,284.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2012",2020,290.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2017",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2017",2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2018",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Consolidated Appropriations Act, 2018",2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Labor, HHS, Education Appropriations Act, 2019",2019,-39.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Labor, HHS, Education Appropriations Act, 2019",2020,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"FUTURE Act, 2019",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"FUTURE Act, 2019",2020,25.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Further Consolidated Appropriations Act, 2020",2019,0.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Further Consolidated Appropriations Act, 2020",2020,-50.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Total Budget Authority for Discretionary Program,2019,23245.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,true
Pellgrant,Total Budget Authority for Discretionary Program,2020,23380.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,true
Pellgrant,Previous Year Shortfall (-) or Surplus,2019,9732.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Previous Year Shortfall (-) or Surplus,2020,9777.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Total Available Budget Authority,2019,32977.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,true
Pellgrant,Total Available Budget Authority,2020,33157.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,true
Pellgrant,Estimated Program Costs,2019,23200.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Estimated Program Costs,2020,23735.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Cumulative Surplus or Shortfall (-)c,2019,9777.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,Cumulative Surplus or Shortfall (-)c,2020,9422.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Cumulative Shortfall-Surplus,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2021,23869.817473,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2022,24339.849607,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2023,24917.460625,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2024,25725.129806,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2025,26572.70948,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2026,27311.65739,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2027,27934.757664690307,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2028,28458.80937692041,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2029,28822.074025840822,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"Estimated Program Cost for $5,285 Maximum Award",2030,29189.97559415612,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,"*Estimated Cumulative Surplus, 2006 to 2020a",2021,9422.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2021,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2022,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2023,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2024,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2025,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2026,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2027,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
Pellgrant,Mandatory-for-Discretionary Budget Authorityb,2028,1170.0,"Millions of Dollars, by Fiscal Year",51304-2020-01-pellgrant.xlsx,Pell Grant Baseline,false
