program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Pell Grant,Regular Discretionary Appropriationa,2016,22475.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2016,2016,2016,14,4
Pell Grant,Regular Discretionary Appropriationa,2017,21165.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2017,2017,2017,14,5
Pell Grant,Regular Discretionary Appropriationa,2018,22475.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2018,2018,2018,14,6
Pell Grant,Regular Discretionary Appropriationa,2019,21875.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2019,2019,2019,14,7
Pell Grant,Regular Discretionary Appropriationa,2020,21975.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2020,2020,2020,14,8
Pell Grant,Regular Discretionary Appropriationa,2021,21975.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2021,2021,2021,14,9
Pell Grant,Regular Discretionary Appropriationa,2022,21425.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2022,2022,2022,14,10
Pell Grant,Regular Discretionary Appropriationa,2023,22115.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2023,2023,2023,14,11
Pell Grant,Regular Discretionary Appropriationa,2024,22475.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2024,2024,2024,14,12
Pell Grant,Regular Discretionary Appropriationa,2025,22475.0,Millions of dollars,51304-2026-02-pellgrant.xlsx,T1_Pell_02-2026,false,51304,"Federal Pell Grant Program: Historical Funding and Program Costs for the Discretionary Portion of the Program / Budget authority in millions of dollars, by fiscal year / Regular Discretionary Appropriationa",fiscal_year,2025,2025,2025,14,13
