program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Post911 Gi Bill,Beneficiaries (Thousands),2019,720.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2020,732.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2021,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2022,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2023,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2024,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2025,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2026,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2028,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Beneficiaries (Thousands),2029,751.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2019,15641.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2020,16285.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2021,16947.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2022,17538.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2023,18139.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2024,18731.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2025,19416.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2026,20116.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2028,21607.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Average Annual Benefit (Dollars),2029,22400.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Total Payments (Millions of dollars),2019,11260.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2020,11917.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2021,12731.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2022,13175.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2023,13626.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2024,14071.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2025,14586.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2026,15112.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2028,16231.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Payments (Millions of dollars),2029,16827.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2019,0.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2020,0.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2021,0.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2022,569.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2023,12.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2024,-580.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2025,0.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2026,0.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2028,671.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Adjustment for Timing Shifts (Millions of dollars)a,2029,-671.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,false
Post911 Gi Bill,Total Outlays (Millions of dollars),2019,11260.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
Post911 Gi Bill,Total Outlays (Millions of dollars),2020,11917.0,Average Annual Benefit (Dollars),53726-2019-05-Post911-GI-Bill.xlsx,Table 1,true
