program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Post911Gibill,Total Payments,2021,9609.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2022,10566.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2023,11056.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2024,11441.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2025,11848.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2026,12278.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2027,12730.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2028,13201.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2029,13690.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2030,14194.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Total Payments,2031,14712.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true
Post911Gibill,Adjustment for Timing Shiftsa,2021,0.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,false
Post911Gibill,Adjustment for Timing Shiftsa,2022,671.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,false
Post911Gibill,Adjustment for Timing Shiftsa,2023,19.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,false
Post911Gibill,Adjustment for Timing Shiftsa,2024,-690.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,false
Post911Gibill,Adjustment for Timing Shiftsa,2025,0.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,false
