program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Post-9/11 GI Bill,Total Payments,2021,9609.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2021,2021,2021,14,5
Post-9/11 GI Bill,Total Payments,2022,10566.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2022,2022,2022,14,6
Post-9/11 GI Bill,Total Payments,2023,11056.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2023,2023,2023,14,7
Post-9/11 GI Bill,Total Payments,2024,11441.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2024,2024,2024,14,8
Post-9/11 GI Bill,Total Payments,2025,11848.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2025,2025,2025,14,9
Post-9/11 GI Bill,Total Payments,2026,12278.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2026,2026,2026,14,10
Post-9/11 GI Bill,Total Payments,2027,12730.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2027,2027,2027,14,11
Post-9/11 GI Bill,Total Payments,2028,13201.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2028,2028,2028,14,12
Post-9/11 GI Bill,Total Payments,2029,13690.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2029,2029,2029,14,13
Post-9/11 GI Bill,Total Payments,2030,14194.0,Millions of dollars,53726-2021-02-post911gibill.xlsx,Post-911_2-2021,true,53726,"Post-9/11 GI Bill Benefits / Outlays in Millions of dollars, by fiscal year / Total Payments",fiscal_year,2030,2030,2030,14,14
