program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Premium Tax Credit,BHP Enrollmentb,2024,1.3,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2024,2024,2024,30,4
Premium Tax Credit,BHP Enrollmentb,2025,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2025,2025,2025,30,5
Premium Tax Credit,BHP Enrollmentb,2026,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2026,2026,2026,30,6
Premium Tax Credit,BHP Enrollmentb,2027,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2027,2027,2027,30,7
Premium Tax Credit,BHP Enrollmentb,2028,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2028,2028,2028,30,8
Premium Tax Credit,BHP Enrollmentb,2029,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2029,2029,2029,30,9
Premium Tax Credit,BHP Enrollmentb,2030,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2030,2030,2030,30,10
Premium Tax Credit,BHP Enrollmentb,2031,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2031,2031,2031,30,11
Premium Tax Credit,BHP Enrollmentb,2032,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2032,2032,2032,30,12
Premium Tax Credit,BHP Enrollmentb,2033,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2033,2033,2033,30,13
Premium Tax Credit,BHP Enrollmentb,2034,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Marketplace Enrollment / BHP Enrollmentb,fiscal_year,2034,2034,2034,30,14
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2024,4460.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Nationwide Average Annual Benchmark Premium / for a 21-Year-Old Marketplace Enrollee,fiscal_year,2024,2024,2024,37,4
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2025,4780.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false,60523,The Premium Tax Credit and Related Spending / Nationwide Average Annual Benchmark Premium / for a 21-Year-Old Marketplace Enrollee,fiscal_year,2025,2025,2025,37,5
