program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Premium Tax Credit,BHP Enrollmentb,2024,1.3,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2025,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2026,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2027,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2028,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2029,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2030,1.4,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2031,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2032,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2033,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,BHP Enrollmentb,2034,1.5,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2024,4460.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2025,4780.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2026,5210.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2027,5630.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2028,5860.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2029,6090.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2030,6310.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2031,6600.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2032,6870.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2033,7120.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,for a 21-Year-Old Marketplace Enrollee,2034,7470.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2024,5960.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2025,6190.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2026,6710.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2027,7260.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2028,7550.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2029,7840.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2030,8120.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2031,8540.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2032,8870.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2033,9230.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
Premium Tax Credit,Subsidized Marketplace Enrollee,2034,9360.0,Millions of people,60523-2024-07-premium-tax-credit.xlsx,PTC_07-2024,false
