program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Premium Tax Credit,Outlays for the premium tax credita,2026,88.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2026,2026,2026,14,4
Premium Tax Credit,Outlays for the premium tax credita,2027,69.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2027,2027,2027,14,5
Premium Tax Credit,Outlays for the premium tax credita,2028,66.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2028,2028,2028,14,6
Premium Tax Credit,Outlays for the premium tax credita,2029,70.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2029,2029,2029,14,7
Premium Tax Credit,Outlays for the premium tax credita,2030,77.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2030,2030,2030,14,8
Premium Tax Credit,Outlays for the premium tax credita,2031,86.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2031,2031,2031,14,9
Premium Tax Credit,Outlays for the premium tax credita,2032,92.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2032,2032,2032,14,10
Premium Tax Credit,Outlays for the premium tax credita,2033,95.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2033,2033,2033,14,11
Premium Tax Credit,Outlays for the premium tax credita,2034,101.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2034,2034,2034,14,12
Premium Tax Credit,Outlays for the premium tax credita,2035,108.0,Billions of dollars,60523-2026-02-premium-tax-credit.xlsx,PTC_02-2026,false,60523,Premium Tax Credit and Related Spending / Outlays for the premium tax credita,fiscal_year,2035,2035,2035,14,13
