program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Railroad Retirement,Tier Ia,2026,8870.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2026,2026,2026,13,4
Railroad Retirement,Tier Ia,2027,9061.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2027,2027,2027,13,5
Railroad Retirement,Tier Ia,2028,9310.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2028,2028,2028,13,6
Railroad Retirement,Tier Ia,2029,9464.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2029,2029,2029,13,7
Railroad Retirement,Tier Ia,2030,9611.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2030,2030,2030,13,8
Railroad Retirement,Tier Ia,2031,9758.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2031,2031,2031,13,9
Railroad Retirement,Tier Ia,2032,9904.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2032,2032,2032,13,10
Railroad Retirement,Tier Ia,2033,10056.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2033,2033,2033,13,11
Railroad Retirement,Tier Ia,2034,10207.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2034,2034,2034,13,12
Railroad Retirement,Tier Ia,2035,10347.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2035,2035,2035,13,13
Railroad Retirement,Tier Ia,2036,10500.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier Ia,fiscal_year,2036,2036,2036,13,14
Railroad Retirement,Tier IIb,2026,5879.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2026,2026,2026,14,4
Railroad Retirement,Tier IIb,2027,5938.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2027,2027,2027,14,5
Railroad Retirement,Tier IIb,2028,5987.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2028,2028,2028,14,6
Railroad Retirement,Tier IIb,2029,6031.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2029,2029,2029,14,7
Railroad Retirement,Tier IIb,2030,6073.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2030,2030,2030,14,8
Railroad Retirement,Tier IIb,2031,6116.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2031,2031,2031,14,9
Railroad Retirement,Tier IIb,2032,6158.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2032,2032,2032,14,10
Railroad Retirement,Tier IIb,2033,6202.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2033,2033,2033,14,11
Railroad Retirement,Tier IIb,2034,6245.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2034,2034,2034,14,12
Railroad Retirement,Tier IIb,2035,6289.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2035,2035,2035,14,13
Railroad Retirement,Tier IIb,2036,6332.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Tier IIb,fiscal_year,2036,2036,2036,14,14
Railroad Retirement,Supplemental Benefitsc,2026,45.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2026,2026,2026,15,4
Railroad Retirement,Supplemental Benefitsc,2027,43.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2027,2027,2027,15,5
Railroad Retirement,Supplemental Benefitsc,2028,40.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2028,2028,2028,15,6
Railroad Retirement,Supplemental Benefitsc,2029,38.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2029,2029,2029,15,7
Railroad Retirement,Supplemental Benefitsc,2030,35.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2030,2030,2030,15,8
Railroad Retirement,Supplemental Benefitsc,2031,33.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2031,2031,2031,15,9
Railroad Retirement,Supplemental Benefitsc,2032,30.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2032,2032,2032,15,10
Railroad Retirement,Supplemental Benefitsc,2033,28.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2033,2033,2033,15,11
Railroad Retirement,Supplemental Benefitsc,2034,26.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2034,2034,2034,15,12
Railroad Retirement,Supplemental Benefitsc,2035,24.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2035,2035,2035,15,13
Railroad Retirement,Supplemental Benefitsc,2036,22.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Supplemental Benefitsc,fiscal_year,2036,2036,2036,15,14
Railroad Retirement,Vested Dual Benefitsd,2026,5.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2026,2026,2026,16,4
Railroad Retirement,Vested Dual Benefitsd,2027,4.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2027,2027,2027,16,5
Railroad Retirement,Vested Dual Benefitsd,2028,4.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2028,2028,2028,16,6
Railroad Retirement,Vested Dual Benefitsd,2029,3.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2029,2029,2029,16,7
Railroad Retirement,Vested Dual Benefitsd,2030,2.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2030,2030,2030,16,8
Railroad Retirement,Vested Dual Benefitsd,2031,2.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2031,2031,2031,16,9
Railroad Retirement,Vested Dual Benefitsd,2032,2.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2032,2032,2032,16,10
Railroad Retirement,Vested Dual Benefitsd,2033,1.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2033,2033,2033,16,11
Railroad Retirement,Vested Dual Benefitsd,2034,1.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2034,2034,2034,16,12
Railroad Retirement,Vested Dual Benefitsd,2035,1.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2035,2035,2035,16,13
Railroad Retirement,Vested Dual Benefitsd,2036,1.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,false,51306,Railroad Retirement / BUDGET INFORMATION / Vested Dual Benefitsd,fiscal_year,2036,2036,2036,16,14
Railroad Retirement,Total,2026,14799.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2026,2026,2026,17,4
Railroad Retirement,Total,2027,15046.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2027,2027,2027,17,5
Railroad Retirement,Total,2028,15341.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2028,2028,2028,17,6
Railroad Retirement,Total,2029,15536.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2029,2029,2029,17,7
Railroad Retirement,Total,2030,15721.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2030,2030,2030,17,8
Railroad Retirement,Total,2031,15909.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2031,2031,2031,17,9
Railroad Retirement,Total,2032,16094.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2032,2032,2032,17,10
Railroad Retirement,Total,2033,16287.0,Millions of dollars,51306-2026-02-railroadretirement.xlsx,RailroadRetirement_02-2026,true,51306,Railroad Retirement / BUDGET INFORMATION / Total,fiscal_year,2033,2033,2033,17,11
