program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
SNAP,Estimated Budget Authority,2024,103764.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2024,2024,2024,13,4
SNAP,Estimated Budget Authority,2025,103958.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2025,2025,2025,13,5
SNAP,Estimated Budget Authority,2026,103951.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2026,2026,2026,13,6
SNAP,Estimated Budget Authority,2027,106831.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2027,2027,2027,13,7
SNAP,Estimated Budget Authority,2028,107506.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2028,2028,2028,13,8
SNAP,Estimated Budget Authority,2029,108424.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2029,2029,2029,13,9
SNAP,Estimated Budget Authority,2030,109196.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2030,2030,2030,13,10
SNAP,Estimated Budget Authority,2031,110598.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2031,2031,2031,13,11
SNAP,Estimated Budget Authority,2032,114890.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2032,2032,2032,13,12
SNAP,Estimated Budget Authority,2033,116602.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2033,2033,2033,13,13
SNAP,Estimated Budget Authority,2034,118162.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Budget Authority,fiscal_year,2034,2034,2034,13,14
SNAP,Estimated Outlays,2024,104530.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,15,4
SNAP,Estimated Outlays,2025,103948.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,15,5
SNAP,Estimated Outlays,2026,103951.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,15,6
SNAP,Estimated Outlays,2027,106687.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2027,2027,2027,15,7
SNAP,Estimated Outlays,2028,107472.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2028,2028,2028,15,8
SNAP,Estimated Outlays,2029,108378.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2029,2029,2029,15,9
SNAP,Estimated Outlays,2030,109157.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2030,2030,2030,15,10
SNAP,Estimated Outlays,2031,110528.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2031,2031,2031,15,11
SNAP,Estimated Outlays,2032,114675.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2032,2032,2032,15,12
SNAP,Estimated Outlays,2033,116516.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2033,2033,2033,15,13
SNAP,Estimated Outlays,2034,118084.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2034,2034,2034,15,14
SNAP,Budget Authority,2024,93529.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2024,2024,2024,19,4
SNAP,Budget Authority,2025,93499.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2025,2025,2025,19,5
SNAP,Budget Authority,2026,93285.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2026,2026,2026,19,6
SNAP,Budget Authority,2027,95862.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2027,2027,2027,19,7
SNAP,Budget Authority,2028,96299.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2028,2028,2028,19,8
SNAP,Budget Authority,2029,96958.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2029,2029,2029,19,9
SNAP,Budget Authority,2030,97457.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2030,2030,2030,19,10
SNAP,Budget Authority,2031,98572.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2031,2031,2031,19,11
SNAP,Budget Authority,2032,102470.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2032,2032,2032,19,12
SNAP,Budget Authority,2033,103873.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2033,2033,2033,19,13
SNAP,Budget Authority,2034,105111.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,true,51312,Supplemental Nutrition Assistance Program / Total Benefitsa* / Budget Authority,fiscal_year,2034,2034,2034,19,14
SNAP,Budget Authority,2024,2928.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2024,2024,2024,21,4
SNAP,Budget Authority,2025,2977.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2025,2025,2025,21,5
SNAP,Budget Authority,2026,3007.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2026,2026,2026,21,6
SNAP,Budget Authority,2027,3116.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2027,2027,2027,21,7
SNAP,Budget Authority,2028,3159.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2028,2028,2028,21,8
SNAP,Budget Authority,2029,3210.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2029,2029,2029,21,9
SNAP,Budget Authority,2030,3264.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2030,2030,2030,21,10
SNAP,Budget Authority,2031,3323.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2031,2031,2031,21,11
SNAP,Budget Authority,2032,3467.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2032,2032,2032,21,12
SNAP,Budget Authority,2033,3531.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2033,2033,2033,21,13
SNAP,Budget Authority,2034,3598.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / Assistance for Puerto Rico and American Samoa / Budget Authority,fiscal_year,2034,2034,2034,21,14
SNAP,Budget Authority,2024,7306.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2024,2024,2024,23,4
SNAP,Budget Authority,2025,7482.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2025,2025,2025,23,5
SNAP,Budget Authority,2026,7659.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2026,2026,2026,23,6
SNAP,Budget Authority,2027,7853.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2027,2027,2027,23,7
SNAP,Budget Authority,2028,8047.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2028,2028,2028,23,8
SNAP,Budget Authority,2029,8256.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2029,2029,2029,23,9
SNAP,Budget Authority,2030,8475.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2030,2030,2030,23,10
SNAP,Budget Authority,2031,8703.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2031,2031,2031,23,11
SNAP,Budget Authority,2032,8952.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2032,2032,2032,23,12
SNAP,Budget Authority,2033,9198.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2033,2033,2033,23,13
SNAP,Budget Authority,2034,9454.0,Millions of dollars,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,"Supplemental Nutrition Assistance Program / Administrative Costs, Other / Budget Authority",fiscal_year,2034,2034,2034,23,14
SNAP,Average Monthly Participation (Millions of people),2024,41.0,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2024,2024,2024,29,4
SNAP,Average Monthly Participation (Millions of people),2025,40.4,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2025,2025,2025,29,5
SNAP,Average Monthly Participation (Millions of people),2026,39.8,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2026,2026,2026,29,6
SNAP,Average Monthly Participation (Millions of people),2027,39.1,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2027,2027,2027,29,7
SNAP,Average Monthly Participation (Millions of people),2028,38.6,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2028,2028,2028,29,8
SNAP,Average Monthly Participation (Millions of people),2029,38.1,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2029,2029,2029,29,9
SNAP,Average Monthly Participation (Millions of people),2030,37.5,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2030,2030,2030,29,10
SNAP,Average Monthly Participation (Millions of people),2031,37.1,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2031,2031,2031,29,11
SNAP,Average Monthly Participation (Millions of people),2032,36.6,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2032,2032,2032,29,12
SNAP,Average Monthly Participation (Millions of people),2033,36.3,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2033,2033,2033,29,13
SNAP,Average Monthly Participation (Millions of people),2034,35.9,Millions of people,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Participation (Millions of people),fiscal_year,2034,2034,2034,29,14
SNAP,Average Monthly Benefit per Participant (Dollars),2024,190.1,Dollars per participant,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Benefit per Participant (Dollars),fiscal_year,2024,2024,2024,30,4
SNAP,Average Monthly Benefit per Participant (Dollars),2025,192.86,Dollars per participant,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Benefit per Participant (Dollars),fiscal_year,2025,2025,2025,30,5
SNAP,Average Monthly Benefit per Participant (Dollars),2026,195.32,Dollars per participant,51312-2024-06-snap.xlsx,SNAP_06-2024,false,51312,Supplemental Nutrition Assistance Program / By fiscal year / Average Monthly Benefit per Participant (Dollars),fiscal_year,2026,2026,2026,30,6
