program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
SNAP,Budget Authority,2019,63668.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2019,2019,2019,8,3
SNAP,Budget Authority,2020,63870.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2020,2020,2020,8,4
SNAP,Budget Authority,2021,63769.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2021,2021,2021,8,5
SNAP,Budget Authority,2022,64127.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2022,2022,2022,8,6
SNAP,Budget Authority,2023,64700.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2023,2023,2023,8,7
SNAP,Budget Authority,2024,65504.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2024,2024,2024,8,8
SNAP,Budget Authority,2025,66250.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2025,2025,2025,8,9
SNAP,Budget Authority,2026,66994.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2026,2026,2026,8,10
SNAP,Budget Authority,2027,68261.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2027,2027,2027,8,11
SNAP,Budget Authority,2028,69739.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2028,2028,2028,8,12
SNAP,Budget Authority,2029,71424.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Budget Authority,fiscal_year,2029,2029,2029,8,13
SNAP,Outlays,2019,64991.0,Millions of dollars,51312-2019-05-SNAP.xlsx,Table 1,true,51312,Baseline Totals / Outlays,fiscal_year,2019,2019,2019,9,3
