program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Snap,Estimated Budget Authority,2022,150748.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2023,139427.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2024,103326.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2025,103922.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2026,104348.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2027,104967.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2028,105528.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2029,106306.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2030,107597.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2031,109155.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Budget Authority,2032,111006.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2022,159369.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2023,139972.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2024,109901.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2025,103880.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2026,106405.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2027,104936.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2028,105500.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2029,106267.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2030,107533.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2031,109077.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Estimated Outlays,2032,110913.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2022,117874.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2023,115607.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2024,93036.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2025,93358.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2026,93494.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2027,93811.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2028,94059.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2029,94512.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2030,95468.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2031,96681.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Budget Authority,2032,98176.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2022,41.2,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2023,40.3,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2024,39.2,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2025,38.2,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2026,37.2,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2027,36.3,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2028,35.4,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2029,34.6,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2030,34.0,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2031,33.5,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Participation (Millions of people),2032,33.1,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
Snap,Average Monthly Benefit per Participant (Dollars),2022,238.42,"By Fiscal Year, Millions of Dollars",51312-2022-05-snap.xlsx,SNAP_05-2022,false
