program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Social Security,Retired workers,2019,45108.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2019,2019,2019,9,2
Social Security,Retired workers,2020,46821.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2020,2020,2020,9,3
Social Security,Retired workers,2021,48386.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2021,2021,2021,9,4
Social Security,Retired workers,2022,49951.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2022,2022,2022,9,5
Social Security,Retired workers,2023,51527.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2023,2023,2023,9,6
Social Security,Retired workers,2024,53088.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2024,2024,2024,9,7
Social Security,Retired workers,2025,54599.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2025,2025,2025,9,8
Social Security,Retired workers,2026,56079.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2026,2026,2026,9,9
Social Security,Retired workers,2027,57658.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2027,2027,2027,9,10
Social Security,Retired workers,2028,59112.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2028,2028,2028,9,11
Social Security,Retired workers,2029,60498.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2029,2029,2029,9,12
Social Security,Retired workers,2030,61786.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2030,2030,2030,9,13
Social Security,Wives and husbands,2019,2418.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2019,2019,2019,10,2
Social Security,Wives and husbands,2020,2404.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2020,2020,2020,10,3
Social Security,Wives and husbands,2021,2363.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2021,2021,2021,10,4
Social Security,Wives and husbands,2022,2307.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2022,2022,2022,10,5
Social Security,Wives and husbands,2023,2249.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2023,2023,2023,10,6
Social Security,Wives and husbands,2024,2235.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2024,2024,2024,10,7
Social Security,Wives and husbands,2025,2224.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2025,2025,2025,10,8
Social Security,Wives and husbands,2026,2209.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2026,2026,2026,10,9
Social Security,Wives and husbands,2027,2202.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2027,2027,2027,10,10
Social Security,Wives and husbands,2028,2191.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2028,2028,2028,10,11
Social Security,Wives and husbands,2029,2178.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2029,2029,2029,10,12
Social Security,Wives and husbands,2030,2158.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2030,2030,2030,10,13
Social Security,Children,2019,713.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2019,2019,2019,11,2
Social Security,Children,2020,733.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2020,2020,2020,11,3
Social Security,Children,2021,746.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2021,2021,2021,11,4
Social Security,Children,2022,758.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2022,2022,2022,11,5
Social Security,Children,2023,769.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2023,2023,2023,11,6
Social Security,Children,2024,778.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2024,2024,2024,11,7
Social Security,Children,2025,786.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2025,2025,2025,11,8
Social Security,Children,2026,793.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2026,2026,2026,11,9
Social Security,Children,2027,802.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2027,2027,2027,11,10
Social Security,Children,2028,809.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2028,2028,2028,11,11
Social Security,Children,2029,814.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2029,2029,2029,11,12
Social Security,Children,2030,816.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Retired Workers and Families / Children,fiscal_year,2030,2030,2030,11,13
Social Security,Children,2019,1927.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2019,2019,2019,14,2
Social Security,Children,2020,1941.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2020,2020,2020,14,3
Social Security,Children,2021,1957.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2021,2021,2021,14,4
Social Security,Children,2022,1973.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2022,2022,2022,14,5
Social Security,Children,2023,1991.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2023,2023,2023,14,6
Social Security,Children,2024,2009.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2024,2024,2024,14,7
Social Security,Children,2025,2026.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2025,2025,2025,14,8
Social Security,Children,2026,2045.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2026,2026,2026,14,9
Social Security,Children,2027,2067.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2027,2027,2027,14,10
Social Security,Children,2028,2091.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2028,2028,2028,14,11
Social Security,Children,2029,2117.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2029,2029,2029,14,12
Social Security,Children,2030,2142.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Children,fiscal_year,2030,2030,2030,14,13
Social Security,Mothers and fathers,2019,116.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2019,2019,2019,15,2
Social Security,Mothers and fathers,2020,111.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2020,2020,2020,15,3
Social Security,Mothers and fathers,2021,106.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2021,2021,2021,15,4
Social Security,Mothers and fathers,2022,101.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2022,2022,2022,15,5
Social Security,Mothers and fathers,2023,97.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2023,2023,2023,15,6
Social Security,Mothers and fathers,2024,93.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2024,2024,2024,15,7
Social Security,Mothers and fathers,2025,89.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2025,2025,2025,15,8
Social Security,Mothers and fathers,2026,85.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2026,2026,2026,15,9
Social Security,Mothers and fathers,2027,82.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2027,2027,2027,15,10
Social Security,Mothers and fathers,2028,79.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2028,2028,2028,15,11
Social Security,Mothers and fathers,2029,76.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2029,2029,2029,15,12
Social Security,Mothers and fathers,2030,73.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Mothers and fathers,fiscal_year,2030,2030,2030,15,13
Social Security,Aged widows and widowers,2019,3713.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2019,2019,2019,16,2
Social Security,Aged widows and widowers,2020,3576.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2020,2020,2020,16,3
Social Security,Aged widows and widowers,2021,3479.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2021,2021,2021,16,4
Social Security,Aged widows and widowers,2022,3389.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2022,2022,2022,16,5
Social Security,Aged widows and widowers,2023,3277.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2023,2023,2023,16,6
Social Security,Aged widows and widowers,2024,3130.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2024,2024,2024,16,7
Social Security,Aged widows and widowers,2025,2980.0,Thousands,51308-2020-01-socialsecurity.xlsx,Public,false,51308,Survivors / Aged widows and widowers,fiscal_year,2025,2025,2025,16,8
