program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Social Security,Retired workers,2018,43721.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2018,2018,2018,11,2
Social Security,Retired workers,2019,45221.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2019,2019,2019,11,3
Social Security,Retired workers,2020,46877.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2020,2020,2020,11,4
Social Security,Retired workers,2021,48403.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2021,2021,2021,11,5
Social Security,Retired workers,2022,49936.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2022,2022,2022,11,6
Social Security,Retired workers,2023,51481.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2023,2023,2023,11,7
Social Security,Retired workers,2024,53018.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2024,2024,2024,11,8
Social Security,Retired workers,2025,54510.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2025,2025,2025,11,9
Social Security,Retired workers,2026,55974.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2026,2026,2026,11,10
Social Security,Retired workers,2027,57548.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2027,2027,2027,11,11
Social Security,Retired workers,2028,59001.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2028,2028,2028,11,12
Social Security,Retired workers,2029,60387.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Retired workers,fiscal_year,2029,2029,2029,11,13
Social Security,Wives and husbands,2018,2389.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2018,2018,2018,12,2
Social Security,Wives and husbands,2019,2401.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2019,2019,2019,12,3
Social Security,Wives and husbands,2020,2356.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2020,2020,2020,12,4
Social Security,Wives and husbands,2021,2294.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2021,2021,2021,12,5
Social Security,Wives and husbands,2022,2235.0,Thousands,51308-2019-05-Social-Security.xlsx,Table 1,false,51308,Retired Workers and Families / Wives and husbands,fiscal_year,2022,2022,2022,12,6
