program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Social Security,Estimated Outlays for Benefits,2020,940.2,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2020,2020,2020,14,5
Social Security,Estimated Outlays for Benefits,2021,981.9,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2021,2021,2021,14,6
Social Security,Estimated Outlays for Benefits,2022,1046.8,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2022,2022,2022,14,7
Social Security,Estimated Outlays for Benefits,2023,1115.9,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2023,2023,2023,14,8
Social Security,Estimated Outlays for Benefits,2024,1184.9,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2024,2024,2024,14,9
Social Security,Estimated Outlays for Benefits,2025,1258.5,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2025,2025,2025,14,10
Social Security,Estimated Outlays for Benefits,2026,1334.4,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2026,2026,2026,14,11
Social Security,Estimated Outlays for Benefits,2027,1412.4,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2027,2027,2027,14,12
Social Security,Estimated Outlays for Benefits,2028,1504.4,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2028,2028,2028,14,13
Social Security,Estimated Outlays for Benefits,2029,1595.4,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2029,2029,2029,14,14
Social Security,Estimated Outlays for Benefits,2030,1688.8,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2030,2030,2030,14,15
Social Security,Estimated Outlays for Benefits,2031,1783.4,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / BUDGET INFORMATION / Estimated Outlays for Benefits,fiscal_year,2031,2031,2031,14,16
Social Security,Retired workers,2020,772.3,Billions of dollars,51308-2021-07-socialsecurity.xlsx,OASI_07-2021,false,51308,Social Security Old-Age And Survivors Insurance / Retired Workers and Families / Retired workers,fiscal_year,2020,2020,2020,19,5
