program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
SSDI,Estimated Outlays,2020,144.2,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2020,2020,2020,14,5
SSDI,Estimated Outlays,2021,141.4,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2021,2021,2021,14,6
SSDI,Estimated Outlays,2022,149.8,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2022,2022,2022,14,7
SSDI,Estimated Outlays,2023,158.7,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2023,2023,2023,14,8
SSDI,Estimated Outlays,2024,166.8,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2024,2024,2024,14,9
SSDI,Estimated Outlays,2025,174.4,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2025,2025,2025,14,10
SSDI,Estimated Outlays,2026,182.7,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2026,2026,2026,14,11
SSDI,Estimated Outlays,2027,191.1,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2027,2027,2027,14,12
SSDI,Estimated Outlays,2028,195.1,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2028,2028,2028,14,13
SSDI,Estimated Outlays,2029,201.5,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2029,2029,2029,14,14
SSDI,Estimated Outlays,2030,208.4,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2030,2030,2030,14,15
SSDI,Estimated Outlays,2031,215.4,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / BUDGET INFORMATION / Estimated Outlays,fiscal_year,2031,2031,2031,14,16
SSDI,Estimated Outlays for Regular Benefits,2020,132.79999999999998,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2020,2020,2020,17,5
SSDI,Estimated Outlays for Regular Benefits,2021,131.20000000000002,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2021,2021,2021,17,6
SSDI,Estimated Outlays for Regular Benefits,2022,135.5,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2022,2022,2022,17,7
SSDI,Estimated Outlays for Regular Benefits,2023,142.3,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2023,2023,2023,17,8
SSDI,Estimated Outlays for Regular Benefits,2024,149.6,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2024,2024,2024,17,9
SSDI,Estimated Outlays for Regular Benefits,2025,156.5,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2025,2025,2025,17,10
SSDI,Estimated Outlays for Regular Benefits,2026,164.6,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2026,2026,2026,17,11
SSDI,Estimated Outlays for Regular Benefits,2027,172.9,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2027,2027,2027,17,12
SSDI,Estimated Outlays for Regular Benefits,2028,176.6,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2028,2028,2028,17,13
SSDI,Estimated Outlays for Regular Benefits,2029,182.3,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2029,2029,2029,17,14
SSDI,Estimated Outlays for Regular Benefits,2030,188.3,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2030,2030,2030,17,15
SSDI,Estimated Outlays for Regular Benefits,2031,194.7,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Regular Benefits,fiscal_year,2031,2031,2031,17,16
SSDI,Estimated Outlays for Retroactive Benefits,2020,11.2,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Retroactive Benefits,fiscal_year,2020,2020,2020,18,5
SSDI,Estimated Outlays for Retroactive Benefits,2021,9.9,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Retroactive Benefits,fiscal_year,2021,2021,2021,18,6
SSDI,Estimated Outlays for Retroactive Benefits,2022,14.1,Billions of dollars,51307-2021-07-ssdi.xlsx,SSDI,false,51307,Social Security Disability Insurance / Components of the Social Security Disability Insurance Program / Estimated Outlays for Retroactive Benefits,fiscal_year,2022,2022,2022,18,7
