program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Ssdi,Estimated Outlays,2023,149.7,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2024,156.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2025,164.1,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2026,174.4,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2027,184.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2028,189.6,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2029,196.6,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2030,203.4,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2031,210.6,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2033,227.5,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays,2034,240.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2023,138.5,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2024,143.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2025,146.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2026,155.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2027,164.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2028,169.8,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2029,176.6,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2030,183.1,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2031,189.7,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2033,204.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Regular Benefits,2034,216.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2023,11.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2024,12.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2025,17.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2026,18.9,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2027,19.1,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2028,19.5,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2029,19.7,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2030,20.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2031,20.6,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2033,22.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Estimated Outlays for Retroactive Benefits,2034,23.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2023,0.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2024,0.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2025,0.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2026,0.2,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2027,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2028,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2029,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2030,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2031,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2033,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,"Demonstration Projects, and Other",2034,0.3,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2023,66603.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2024,69322.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2025,71848.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2026,74224.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2027,76786.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2028,79542.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2029,82441.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2030,85430.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
Ssdi,Average Wage for Indexing (Dollars),2031,88445.0,"Billions of dollars, by fiscal year",51307-2024-02-ssdi.xlsx,SSDI_02-2024-rev,false
