program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
SSI,Estimated Outlays,2021,56.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2021,2021,2021,14,5
SSI,Estimated Outlays,2022,63.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2022,2022,2022,14,6
SSI,Estimated Outlays,2023,61.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2023,2023,2023,14,7
SSI,Estimated Outlays,2024,58.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2024,2024,2024,14,8
SSI,Estimated Outlays,2025,65.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2025,2025,2025,14,9
SSI,Estimated Outlays,2026,66.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2026,2026,2026,14,10
SSI,Estimated Outlays,2027,68.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2027,2027,2027,14,11
SSI,Estimated Outlays,2028,75.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2028,2028,2028,14,12
SSI,Estimated Outlays,2029,66.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2029,2029,2029,14,13
SSI,Estimated Outlays,2030,73.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2030,2030,2030,14,14
SSI,Estimated Outlays,2031,75.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,"Supplemental Security Income / Outlays in billions of dollars, by fiscal year / Estimated Outlays",fiscal_year,2031,2031,2031,14,15
SSI,Aged,2021,6.0,Billions of dollars,51313-2021-07-ssi.xlsx,SSI_07-2021,false,51313,Supplemental Security Income / Estimated Outlays for Benefits / Aged,fiscal_year,2021,2021,2021,19,5
