program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,period_type,period_start_year,period_end_year,period_label,source_row,source_column
Student Loans,Budget Authority,2019,-1216.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2019,2019,2019,9,5
Student Loans,Budget Authority,2020,-4700.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2020,2020,2020,9,6
Student Loans,Budget Authority,2021,-3575.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2021,2021,2021,9,7
Student Loans,Budget Authority,2022,-2265.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2022,2022,2022,9,8
Student Loans,Budget Authority,2023,-1948.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2023,2023,2023,9,9
Student Loans,Budget Authority,2024,-1789.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2024,2024,2024,9,10
Student Loans,Budget Authority,2025,-2707.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2025,2025,2025,9,11
Student Loans,Budget Authority,2026,-2928.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2026,2026,2026,9,12
Student Loans,Budget Authority,2027,-3144.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2027,2027,2027,9,13
Student Loans,Budget Authority,2028,-3716.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2028,2028,2028,9,14
Student Loans,Budget Authority,2029,-4311.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Budget Authority,fiscal_year,2029,2029,2029,9,15
Student Loans,Outlays,2019,-1905.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2019,2019,2019,10,5
Student Loans,Outlays,2020,-4683.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2020,2020,2020,10,6
Student Loans,Outlays,2021,-3648.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2021,2021,2021,10,7
Student Loans,Outlays,2022,-2533.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2022,2022,2022,10,8
Student Loans,Outlays,2023,-1957.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2023,2023,2023,10,9
Student Loans,Outlays,2024,-1771.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2024,2024,2024,10,10
Student Loans,Outlays,2025,-2255.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2025,2025,2025,10,11
Student Loans,Outlays,2026,-2672.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2026,2026,2026,10,12
Student Loans,Outlays,2027,-2864.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2027,2027,2027,10,13
Student Loans,Outlays,2028,-3265.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2028,2028,2028,10,14
Student Loans,Outlays,2029,-3789.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Program Accounta / Outlays,fiscal_year,2029,2029,2029,10,15
Student Loans,Budget Authority,2019,26661.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2019,2019,2019,12,5
Student Loans,Budget Authority,2020,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2020,2020,2020,12,6
Student Loans,Budget Authority,2021,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2021,2021,2021,12,7
Student Loans,Budget Authority,2022,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2022,2022,2022,12,8
Student Loans,Budget Authority,2023,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2023,2023,2023,12,9
Student Loans,Budget Authority,2024,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2024,2024,2024,12,10
Student Loans,Budget Authority,2025,0.0,Millions of dollars,51310-2019-05-Student-Loan.xlsx,Table 1,false,51310,Table 1. / Direct Student Loans / Credit Reestimates and Modificationsb / Budget Authority,fiscal_year,2025,2025,2025,12,11
